  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  20.000   0.550   0.062   0.358
   0.010  20.000   0.550   0.062   0.358
   0.020  20.000   0.550   0.062   0.358
   0.030  20.000   0.550   0.062   0.358
   0.040  20.000   0.550   0.062   0.358
   0.050  20.000   0.549   0.062   0.358
   0.060  20.000   0.549   0.062   0.358
   0.070  20.000   0.549   0.062   0.357
   0.080  19.000   0.548   0.062   0.357
   0.090  19.000   0.547   0.062   0.357
   0.100  18.000   0.547   0.062   0.356
   0.110  18.000   0.546   0.062   0.356
   0.120  18.000   0.545   0.061   0.355
   0.130  17.000   0.544   0.061   0.355
   0.140  17.000   0.543   0.061   0.354
   0.150  17.000   0.542   0.061   0.353
   0.160  17.000   0.541   0.061   0.352
   0.170  17.000   0.540   0.061   0.352
   0.180  17.000   0.538   0.061   0.351
   0.190  17.000   0.537   0.060   0.350
   0.200  17.000   0.535   0.060   0.349
   0.210  16.000   0.534   0.060   0.348
   0.220  16.000   0.532   0.060   0.347
   0.230  16.000   0.531   0.060   0.346
   0.240  16.000   0.529   0.060   0.345
   0.250  16.000   0.527   0.059   0.343
   0.260  16.000   0.525   0.059   0.342
   0.270  16.000   0.523   0.059   0.341
   0.280  16.000   0.521   0.059   0.340
   0.290  16.000   0.519   0.059   0.338
   0.300  15.000   0.517   0.058   0.337
   0.310  15.000   0.515   0.058   0.336
   0.320  15.000   0.513   0.058   0.334
   0.330  15.000   0.511   0.058   0.333
   0.340  15.000   0.508   0.057   0.331
   0.350  15.000   0.506   0.057   0.330
   0.360  14.000   0.504   0.057   0.329
   0.370  14.000   0.501   0.057   0.327
   0.380  14.000   0.499   0.057   0.326
   0.390  14.000   0.497   0.056   0.324
   0.400  14.000   0.495   0.056   0.323
   0.410  14.000   0.492   0.056   0.322
   0.420  14.000   0.490   0.056   0.320
   0.430  14.000   0.488   0.055   0.319
   0.440  14.000   0.486   0.055   0.318
   0.450  14.000   0.483   0.055   0.316
   0.460  14.000   0.481   0.055   0.315
   0.470  14.000   0.479   0.055   0.314
   0.480  14.000   0.476   0.055   0.312
   0.490  14.000   0.474   0.054   0.311
   0.500  14.000   0.472   0.054   0.310
