  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   2.000   0.000   0.000   0.000   0.029
   0.010   2.000   0.000   0.000   0.000   0.029
   0.020   2.000   0.000   0.000   0.000   0.029
   0.030   2.000   0.000   0.000   0.000   0.029
   0.040   2.000   0.000   0.000   0.000   0.030
   0.050   2.000   0.000   0.000   0.000   0.030
   0.060   2.000   0.000   0.000   0.000   0.031
   0.070   2.000   0.000   0.000   0.000   0.032
   0.080   2.000   0.000   0.000   0.000   0.033
   0.090   2.000   0.000   0.000   0.000   0.034
   0.100   2.000   0.000   0.000   0.000   0.035
   0.110   2.000   0.000   0.000   0.000   0.037
   0.120   2.000   0.000   0.000   0.000   0.038
   0.130   2.000   0.000   0.000   0.000   0.040
   0.140   2.000   0.000   0.000   0.000   0.041
   0.150   2.000   0.000   0.000   0.000   0.043
   0.160   2.000   0.000   0.000   0.000   0.045
   0.170   2.000   0.000   0.000   0.000   0.048
   0.180   2.000   0.000   0.000   0.000   0.050
   0.190   2.000   0.000   0.000   0.000   0.053
   0.200   2.000   0.000   0.000   0.000   0.055
   0.210   2.000   0.000   0.000   0.000   0.058
   0.220   2.000   0.000   0.000   0.000   0.061
   0.230   2.000   0.000   0.000   0.000   0.064
   0.240   2.000   0.000   0.000   0.000   0.067
   0.250   2.000   0.000   0.000   0.000   0.070
   0.260   2.000   0.000   0.000   0.000   0.073
   0.270   2.000   0.000   0.000   0.000   0.077
   0.280   2.000   0.000   0.000   0.000   0.080
   0.290   2.000   0.000   0.000   0.000   0.084
   0.300   2.000   0.000   0.000   0.000   0.088
   0.310   2.000   0.000   0.000   0.000   0.091
   0.320   2.000   0.000   0.000   0.000   0.095
   0.330   2.000   0.000   0.000   0.000   0.099
   0.340   2.000   0.000   0.000   0.000   0.103
   0.350   2.000   0.000   0.000   0.000   0.107
   0.360   2.000   0.000   0.000   0.000   0.110
   0.370   2.000   0.000   0.000   0.000   0.114
   0.380   2.000   0.000   0.000   0.000   0.118
   0.390   2.000   0.000   0.000   0.000   0.122
   0.400   2.000   0.000   0.000   0.000   0.126
   0.410   2.000   0.000   0.000   0.000   0.130
   0.420   2.000   0.000   0.000   0.000   0.134
   0.430   2.000   0.000   0.000   0.000   0.138
   0.440   2.000   0.000   0.000   0.000   0.141
   0.450   2.000   0.000   0.000   0.000   0.145
   0.460   2.000   0.000   0.000   0.000   0.149
   0.470   2.000   0.000   0.000   0.000   0.153
   0.480   2.000   0.000   0.000   0.000   0.157
   0.490   2.000   0.000   0.000   0.000   0.160
   0.500   2.000   0.000   0.000   0.000   0.164
