   STRAIN    AVACS    MODE1
   0.0000   2.4520   1.0000
   0.0200   2.4589   1.0000
   0.0400   2.4354   1.0000
   0.0600   2.4248   1.0000
   0.0800   2.4339   1.0000
   0.1000   2.4585   1.0000
   0.1200   2.5042   1.0000
   0.1400   2.5214   1.0000
   0.1600   2.5441   1.0000
   0.1800   2.5716   1.0000
   0.2000   2.5912   1.0000
   0.2200   2.6284   1.0000
   0.2400   2.6465   1.0000
   0.2600   2.6758   1.0000
   0.2800   2.6892   1.0000
   0.3000   2.6933   1.0000
   0.3200   2.7125   1.0000
   0.3400   2.7438   1.0000
   0.3600   2.7538   1.0000
   0.3800   2.7606   1.0000
   0.4000   2.7725   1.0000
   0.4200   2.7931   1.0000
   0.4400   2.8093   1.0000
   0.4600   2.8064   1.0000
   0.4800   2.8106   1.0000
   0.5000   2.8076   1.0000
   0.5200   2.8134   1.0000
   0.5400   2.8313   1.0000
   0.5600   2.8464   1.0000
   0.5800   2.8590   1.0000
   0.6000   2.8547   1.0000
   0.6200   2.8581   1.0000
   0.6400   2.8751   1.0000
   0.6600   2.8809   1.0000
   0.6800   2.8933   1.0000
   0.7000   2.8891   1.0000
   0.7200   2.8960   1.0000
   0.7400   2.9048   1.0000
   0.7600   2.9164   1.0000
   0.7800   2.9245   1.0000
   0.8000   2.9298   1.0000
   0.8200   2.9530   1.0000
   0.8400   2.9539   1.0000
   0.8600   2.9663   1.0000
   0.8800   2.9750   1.0000
   0.9000   2.9801   1.0000
   0.9200   2.9841   1.0000
   0.9400   2.9887   1.0000
   0.9600   2.9822   1.0000
   0.9800   2.9882   1.0000
   1.0000   2.9843   1.0000
   1.0200   2.9971   1.0000
   1.0400   3.0053   1.0000
   1.0600   3.0138   1.0000
   1.0800   3.0122   1.0000
   1.1000   3.0099   1.0000
   1.1200   3.0143   1.0000
   1.1400   3.0126   1.0000
   1.1600   3.0246   1.0000
   1.1800   3.0193   1.0000
   1.2000   3.0290   1.0000
   1.2200   3.0307   1.0000
   1.2400   3.0349   1.0000
   1.2600   3.0450   1.0000
   1.2800   3.0481   1.0000
   1.3000   3.0572   1.0000
   1.3200   3.0633   1.0000
   1.3400   3.0606   1.0000
   1.3600   3.0579   1.0000
   1.3800   3.0587   1.0000
   1.4000   3.0607   1.0000
   1.4200   3.0625   1.0000
   1.4400   3.0715   1.0000
   1.4600   3.0732   1.0000
   1.4800   3.0745   1.0000
   1.5000   3.0776   1.0000
   1.5200   3.0830   1.0000
   1.5400   3.0865   1.0000
   1.5600   3.0840   1.0000
   1.5800   3.0851   1.0000
   1.6000   3.0900   1.0000
   1.6200   3.0906   1.0000
   1.6400   3.0891   1.0000
   1.6600   3.0833   1.0000
   1.6800   3.0738   1.0000
   1.7000   3.0661   1.0000
   1.7200   3.0641   1.0000
   1.7400   3.0545   1.0000
   1.7600   3.0518   1.0000
   1.7800   3.0464   1.0000
   1.8000   3.0308   1.0000
   1.8200   3.0290   1.0000
   1.8400   3.0251   1.0000
   1.8600   3.0193   1.0000
   1.8800   3.0172   1.0000
   1.9000   3.0173   1.0000
   1.9200   3.0153   1.0000
   1.9400   3.0113   1.0000
   1.9600   2.9945   1.0000
   1.9800   2.9946   1.0000
   2.0000   2.9907   1.0000
