     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.2617E+03  0.2623E+03  0.2606E+03  0.1099E+03  0.1105E+03  0.1088E+03  0.7556E+02  0.7623E+02  0.7452E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.02309     0.2616E+03  0.2623E+03  0.2606E+03  0.1098E+03  0.1105E+03  0.1089E+03  0.7534E+02  0.7624E+02  0.7473E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.04618     0.2616E+03  0.2624E+03  0.2607E+03  0.1098E+03  0.1105E+03  0.1089E+03  0.7510E+02  0.7622E+02  0.7493E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.06927     0.2617E+03  0.2625E+03  0.2609E+03  0.1097E+03  0.1105E+03  0.1089E+03  0.7484E+02  0.7615E+02  0.7511E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.09236     0.2618E+03  0.2626E+03  0.2611E+03  0.1096E+03  0.1104E+03  0.1088E+03  0.7457E+02  0.7605E+02  0.7527E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.11545     0.2620E+03  0.2628E+03  0.2613E+03  0.1094E+03  0.1102E+03  0.1088E+03  0.7428E+02  0.7591E+02  0.7540E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.13854     0.2623E+03  0.2630E+03  0.2616E+03  0.1093E+03  0.1101E+03  0.1087E+03  0.7398E+02  0.7574E+02  0.7551E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.16163     0.2626E+03  0.2633E+03  0.2620E+03  0.1092E+03  0.1099E+03  0.1086E+03  0.7368E+02  0.7554E+02  0.7559E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.18471     0.2630E+03  0.2635E+03  0.2623E+03  0.1090E+03  0.1096E+03  0.1084E+03  0.7338E+02  0.7531E+02  0.7564E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.20780     0.2634E+03  0.2639E+03  0.2627E+03  0.1089E+03  0.1094E+03  0.1082E+03  0.7307E+02  0.7507E+02  0.7566E+02     0.1000E-05  0.1000E-05  0.1000E-05
