
*******   STEP   1      *** TANGENT CALCULATION                
   14   0.839E-04   0.678E-03   0.422E-03

*******   STEP   2      *** TANGENT CALCULATION                
   10   0.141E-03   0.978E-03   0.600E-03

*******   STEP   3      *** TANGENT CALCULATION                
    9   0.754E-04   0.855E-03   0.273E-03

*******   STEP   4      *** TANGENT CALCULATION                
    8   0.101E-03   0.846E-03   0.197E-03

*******   STEP   5      *** TANGENT CALCULATION                
    8   0.764E-04   0.826E-03   0.602E-03

*******   STEP   6      *** TANGENT CALCULATION                
    8   0.140E-03   0.611E-03   0.214E-03

*******   STEP   7      *** TANGENT CALCULATION                
    8   0.745E-04   0.744E-03   0.431E-03

*******   STEP   8      *** TANGENT CALCULATION                
    8   0.113E-03   0.704E-03   0.113E-03

*******   STEP   9      *** TANGENT CALCULATION                
    8   0.134E-03   0.647E-03   0.416E-04

*******   STEP  10      *** TANGENT CALCULATION                
    8   0.606E-04   0.580E-03   0.381E-03

*******   STEP  11      *** TANGENT CALCULATION                
    8   0.572E-04   0.715E-03   0.294E-03

*******   STEP  12      *** TANGENT CALCULATION                
    8   0.576E-04   0.840E-03   0.138E-03

*******   STEP  13      *** TANGENT CALCULATION                
    9   0.130E-03   0.788E-03   0.127E-03

*******   STEP  14      *** TANGENT CALCULATION                
    9   0.119E-03   0.855E-03   0.126E-03

*******   STEP  15      *** TANGENT CALCULATION                
    9   0.128E-03   0.996E-03   0.610E-04

*******   STEP  16      *** TANGENT CALCULATION                
   10   0.554E-04   0.911E-03   0.318E-03

*******   STEP  17      *** TANGENT CALCULATION                
   10   0.425E-04   0.961E-03   0.325E-03

*******   STEP  18      *** TANGENT CALCULATION                
   12   0.135E-03   0.732E-03   0.195E-03

*******   STEP  19      *** TANGENT CALCULATION                
   11   0.114E-03   0.956E-03   0.477E-03

*******   STEP  20      *** TANGENT CALCULATION                
   10   0.484E-04   0.975E-03   0.410E-03

*******   STEP  21      *** TANGENT CALCULATION                
   10   0.537E-04   0.957E-03   0.376E-03

*******   STEP  22      *** TANGENT CALCULATION                
   10   0.569E-04   0.926E-03   0.343E-03

*******   STEP  23      *** TANGENT CALCULATION                
   10   0.619E-04   0.912E-03   0.315E-03

*******   STEP  24      *** TANGENT CALCULATION                
   10   0.675E-04   0.901E-03   0.289E-03

*******   STEP  25      *** TANGENT CALCULATION                
   10   0.745E-04   0.881E-03   0.271E-03

*******   STEP  26      *** TANGENT CALCULATION                
   10   0.799E-04   0.865E-03   0.253E-03

*******   STEP  27      *** TANGENT CALCULATION                
   10   0.813E-04   0.859E-03   0.230E-03

*******   STEP  28      *** TANGENT CALCULATION                
   10   0.812E-04   0.863E-03   0.205E-03

*******   STEP  29      *** TANGENT CALCULATION                
   10   0.798E-04   0.852E-03   0.179E-03

*******   STEP  30      *** TANGENT CALCULATION                
    7   0.963E-04   0.797E-03   0.515E-03

*******   STEP  31      *** TANGENT CALCULATION                
   10   0.931E-04   0.900E-03   0.169E-03

*******   STEP  32      *** TANGENT CALCULATION                
    7   0.940E-04   0.967E-03   0.366E-03

*******   STEP  33      *** TANGENT CALCULATION                
    8   0.114E-03   0.990E-03   0.747E-04

*******   STEP  34      *** TANGENT CALCULATION                
   10   0.800E-04   0.900E-03   0.185E-03

*******   STEP  35      *** TANGENT CALCULATION                
   10   0.817E-04   0.900E-03   0.130E-03

*******   STEP  36      *** TANGENT CALCULATION                
   10   0.938E-04   0.943E-03   0.884E-04

*******   STEP  37      *** TANGENT CALCULATION                
   10   0.103E-03   0.974E-03   0.468E-04

*******   STEP  38      *** TANGENT CALCULATION                
   10   0.113E-03   0.981E-03   0.322E-04

*******   STEP  39      *** TANGENT CALCULATION                
   10   0.119E-03   0.974E-03   0.805E-04

*******   STEP  40      *** TANGENT CALCULATION                
   10   0.123E-03   0.955E-03   0.135E-03

*******   STEP  41      *** TANGENT CALCULATION                
   10   0.127E-03   0.935E-03   0.184E-03

*******   STEP  42      *** TANGENT CALCULATION                
   10   0.129E-03   0.889E-03   0.240E-03

*******   STEP  43      *** TANGENT CALCULATION                
   10   0.128E-03   0.839E-03   0.290E-03

*******   STEP  44      *** TANGENT CALCULATION                
   10   0.127E-03   0.769E-03   0.335E-03

*******   STEP  45      *** TANGENT CALCULATION                
   10   0.125E-03   0.687E-03   0.383E-03

*******   STEP  46      *** TANGENT CALCULATION                
   10   0.122E-03   0.620E-03   0.415E-03

*******   STEP  47      *** TANGENT CALCULATION                
   10   0.119E-03   0.558E-03   0.446E-03

*******   STEP  48      *** TANGENT CALCULATION                
   10   0.115E-03   0.510E-03   0.464E-03

*******   STEP  49      *** TANGENT CALCULATION                
   10   0.112E-03   0.460E-03   0.489E-03

*******   STEP  50      *** TANGENT CALCULATION                
   10   0.107E-03   0.444E-03   0.486E-03

*******   STEP  51      *** TANGENT CALCULATION                
   10   0.100E-03   0.397E-03   0.497E-03

*******   STEP  52      *** TANGENT CALCULATION                
   10   0.953E-04   0.385E-03   0.499E-03

