  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.000   1.022   0.978      0.001   0.008   0.008
  0.04     1      1.000   1.044   0.957      0.002   0.016   0.017
  0.06     1      1.000   1.066   0.937      0.004   0.025   0.026
  0.08     1      1.000   1.089   0.917      0.005   0.033   0.035
  0.10     1      1.000   1.113   0.898      0.006   0.041   0.044
  0.12     1      1.000   1.137   0.879      0.007   0.049   0.052
  0.14     1      1.000   1.162   0.861      0.009   0.057   0.061
  0.16     1      0.999   1.188   0.843      0.010   0.065   0.070
  0.18     1      0.999   1.214   0.825      0.011   0.072   0.079
  0.20     1      0.999   1.241   0.808      0.013   0.080   0.088
  0.22     1      0.999   1.268   0.792      0.014   0.087   0.096
  0.24     1      0.998   1.296   0.776      0.015   0.095   0.105
  0.26     1      0.998   1.325   0.760      0.017   0.102   0.114
  0.28     1      0.998   1.355   0.745      0.018   0.109   0.122
  0.30     1      0.997   1.385   0.730      0.020   0.116   0.131
  0.32     1      0.997   1.416   0.715      0.021   0.123   0.139
  0.34     1      0.996   1.448   0.701      0.023   0.130   0.148
  0.36     1      0.996   1.480   0.687      0.025   0.137   0.156
  0.38     1      0.995   1.514   0.673      0.026   0.143   0.164
  0.40     1      0.995   1.548   0.660      0.028   0.150   0.173
  0.42     1      0.994   1.583   0.647      0.029   0.156   0.181
  0.44     1      0.993   1.619   0.634      0.031   0.162   0.188
  0.46     1      0.993   1.656   0.622      0.033   0.168   0.196
  0.48     1      0.992   1.694   0.610      0.034   0.174   0.204
  0.50     1      0.991   1.732   0.598      0.036   0.180   0.211
  0.52     1      0.990   1.772   0.586      0.037   0.185   0.219
  0.54     1      0.990   1.812   0.575      0.039   0.190   0.226
  0.56     1      0.989   1.854   0.564      0.041   0.195   0.233
  0.58     1      0.988   1.896   0.553      0.042   0.200   0.240
  0.60     1      0.987   1.939   0.542      0.044   0.205   0.247
  0.62     1      0.986   1.984   0.532      0.045   0.210   0.254
  0.64     1      0.986   2.029   0.521      0.047   0.214   0.260
  0.66     1      0.985   2.075   0.511      0.048   0.219   0.267
  0.68     1      0.984   2.122   0.501      0.050   0.223   0.273
  0.70     1      0.983   2.171   0.492      0.051   0.227   0.279
  0.72     1      0.982   2.220   0.482      0.053   0.231   0.285
  0.74     1      0.982   2.271   0.473      0.054   0.235   0.291
  0.76     1      0.981   2.322   0.464      0.056   0.238   0.297
  0.78     1      0.980   2.375   0.455      0.057   0.242   0.302
  0.80     1      0.979   2.429   0.446      0.058   0.245   0.307
  0.82     1      0.979   2.484   0.437      0.060   0.248   0.313
  0.84     1      0.978   2.540   0.429      0.061   0.252   0.318
  0.86     1      0.977   2.597   0.421      0.062   0.255   0.323
  0.88     1      0.976   2.656   0.412      0.063   0.257   0.328
  0.90     1      0.975   2.715   0.404      0.064   0.260   0.332
  0.92     1      0.975   2.776   0.396      0.066   0.263   0.337
  0.94     1      0.974   2.839   0.389      0.067   0.265   0.341
  0.96     1      0.973   2.902   0.381      0.068   0.268   0.346
  0.98     1      0.973   2.967   0.374      0.069   0.270   0.350
  1.00     1      0.972   3.033   0.366      0.070   0.272   0.354
  1.02     1      0.971   3.101   0.359      0.071   0.274   0.358
  1.04     1      0.970   3.169   0.352      0.072   0.276   0.362
  1.06     1      0.970   3.240   0.345      0.073   0.278   0.366
  1.08     1      0.969   3.311   0.338      0.074   0.280   0.369
  1.10     1      0.969   3.385   0.332      0.075   0.282   0.373
  1.12     1      0.968   3.459   0.325      0.076   0.283   0.376
  1.14     1      0.967   3.535   0.319      0.077   0.285   0.379
  1.16     1      0.967   3.613   0.313      0.077   0.287   0.383
  1.18     1      0.966   3.692   0.306      0.078   0.288   0.386
  1.20     1      0.965   3.773   0.300      0.079   0.289   0.389
  1.22     1      0.965   3.856   0.294      0.080   0.291   0.392
  1.24     1      0.964   3.940   0.288      0.081   0.292   0.395
  1.26     1      0.964   4.025   0.283      0.081   0.293   0.397
  1.28     1      0.963   4.113   0.277      0.082   0.295   0.400
  1.30     1      0.963   4.202   0.272      0.083   0.296   0.403
  1.32     1      0.962   4.293   0.266      0.084   0.297   0.405
  1.34     1      0.962   4.386   0.261      0.084   0.298   0.408
  1.36     1      0.961   4.481   0.256      0.085   0.299   0.410
  1.38     1      0.961   4.577   0.251      0.086   0.300   0.412
  1.40     1      0.960   4.676   0.246      0.086   0.301   0.414
  1.42     1      0.960   4.776   0.241      0.087   0.302   0.417
  1.44     1      0.959   4.878   0.236      0.087   0.302   0.419
  1.46     1      0.959   4.983   0.231      0.088   0.303   0.421
  1.48     1      0.958   5.089   0.227      0.089   0.304   0.423
