          Evm          Svm          E11          E22          E33          E23          E13          E12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP      TIME    TAYLAV      WORKAV      WRATE1      WRATE2 
  0.00000E+00  0.25102E+01     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14447E+01  0.85845E-02 -0.14533E+01  0.13005E-01  0.30384E-02 -0.24228E-01      298. 0.000E+00     2.048  0.5001E-01  0.2896E+01  0.2501E+01
  0.23089E-01  0.25103E+01     0.20000E-01  0.00000E+00 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.14432E+01  0.11673E-01 -0.14549E+01  0.15565E-01  0.21214E-04 -0.21847E-01      298. 0.200E-01     2.048  0.9985E-01  0.2895E+01  0.2492E+01
  0.46179E-01  0.25073E+01     0.40000E-01  0.00000E+00 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.14406E+01  0.13497E-01 -0.14541E+01  0.17795E-01 -0.15863E-02 -0.19848E-01      298. 0.400E-01     2.047  0.1497E+00  0.2896E+01  0.2494E+01
  0.69268E-01  0.25089E+01     0.60000E-01  0.00000E+00 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.14410E+01  0.14459E-01 -0.14554E+01  0.20127E-01 -0.18568E-02 -0.17523E-01      298. 0.600E-01     2.047  0.1996E+00  0.2896E+01  0.2496E+01
  0.92358E-01  0.25082E+01     0.80000E-01  0.00000E+00 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.14406E+01  0.14415E-01 -0.14550E+01  0.22286E-01 -0.86086E-03 -0.14607E-01      298. 0.800E-01     2.048  0.2496E+00  0.2898E+01  0.2500E+01
  0.11545E+00  0.25124E+01     0.10000E+00  0.00000E+00 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14433E+01  0.13839E-01 -0.14571E+01  0.23928E-01  0.71267E-03 -0.12311E-01      298. 0.100E+00     2.050  0.2997E+00  0.2900E+01  0.2503E+01
  0.13854E+00  0.25141E+01     0.12000E+00  0.00000E+00 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14445E+01  0.13334E-01 -0.14579E+01  0.25833E-01  0.32354E-02 -0.91880E-02      298. 0.120E+00     2.053  0.3499E+00  0.2904E+01  0.2509E+01
  0.16163E+00  0.25189E+01     0.14000E+00  0.00000E+00 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14474E+01  0.13024E-01 -0.14605E+01  0.27121E-01  0.55451E-02 -0.64990E-02      298. 0.140E+00     2.056  0.4002E+00  0.2908E+01  0.2516E+01
  0.18471E+00  0.25239E+01     0.16000E+00  0.00000E+00 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14503E+01  0.13082E-01 -0.14634E+01  0.27846E-01  0.75496E-02 -0.38030E-02      298. 0.160E+00     2.060  0.4507E+00  0.2913E+01  0.2524E+01
  0.20780E+00  0.25286E+01     0.18000E+00  0.00000E+00 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14527E+01  0.13686E-01 -0.14664E+01  0.28016E-01  0.92815E-02 -0.12667E-02      298. 0.180E+00     2.064  0.5013E+00  0.2920E+01  0.2533E+01
  0.23089E+00  0.25339E+01     0.20000E+00  0.00000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14553E+01  0.14569E-01 -0.14699E+01  0.27802E-01  0.10701E-01  0.94457E-03      298. 0.200E+00     2.068  0.5522E+00  0.2926E+01  0.2542E+01
  0.25398E+00  0.25395E+01     0.22000E+00  0.00000E+00 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14580E+01  0.15583E-01 -0.14736E+01  0.27292E-01  0.11723E-01  0.27206E-02      298. 0.220E+00     2.072  0.6032E+00  0.2931E+01  0.2552E+01
  0.27707E+00  0.25456E+01     0.24000E+00  0.00000E+00 -0.24000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14612E+01  0.16302E-01 -0.14775E+01  0.26775E-01  0.12211E-01  0.39269E-02      298. 0.240E+00     2.077  0.6544E+00  0.2938E+01  0.2561E+01
  0.30016E+00  0.25509E+01     0.26000E+00  0.00000E+00 -0.26000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14635E+01  0.17716E-01 -0.14812E+01  0.26151E-01  0.12503E-01  0.52526E-02      298. 0.260E+00     2.081  0.7059E+00  0.2944E+01  0.2571E+01
