        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.25102E+01        0.089    0.135    0.103    0.101    0.103    0.000        0.222    0.367    0.204    0.251    0.206    0.000
  0.23089E-01  0.25103E+01        0.089    0.132    0.102    0.107    0.105    0.000        0.232    0.384    0.203    0.243    0.206    0.000
  0.46179E-01  0.25073E+01        0.091    0.131    0.101    0.106    0.107    0.000        0.233    0.384    0.201    0.239    0.207    0.000
  0.69268E-01  0.25089E+01        0.093    0.131    0.099    0.104    0.108    0.000        0.233    0.385    0.200    0.238    0.208    0.000
  0.92358E-01  0.25082E+01        0.094    0.130    0.097    0.102    0.109    0.000        0.234    0.387    0.199    0.238    0.208    0.000
  0.11545E+00  0.25124E+01        0.095    0.128    0.094    0.100    0.110    0.000        0.234    0.388    0.197    0.240    0.209    0.000
  0.13854E+00  0.25141E+01        0.096    0.127    0.092    0.098    0.110    0.000        0.235    0.389    0.196    0.244    0.209    0.000
  0.16163E+00  0.25189E+01        0.097    0.125    0.089    0.096    0.109    0.000        0.235    0.390    0.195    0.248    0.210    0.000
  0.18471E+00  0.25239E+01        0.097    0.123    0.087    0.093    0.109    0.000        0.235    0.391    0.193    0.253    0.212    0.000
  0.20780E+00  0.25286E+01        0.098    0.121    0.084    0.091    0.109    0.000        0.236    0.392    0.192    0.257    0.213    0.000
  0.23089E+00  0.25339E+01        0.099    0.119    0.082    0.088    0.109    0.000        0.236    0.392    0.190    0.261    0.215    0.000
  0.25398E+00  0.25395E+01        0.099    0.118    0.080    0.085    0.109    0.000        0.236    0.392    0.189    0.264    0.216    0.000
  0.27707E+00  0.25456E+01        0.100    0.116    0.078    0.082    0.110    0.000        0.236    0.391    0.187    0.267    0.218    0.000
  0.30016E+00  0.25509E+01        0.101    0.115    0.076    0.079    0.110    0.000        0.235    0.390    0.186    0.269    0.220    0.000
  0.32324E+00  0.25565E+01        0.102    0.113    0.074    0.076    0.110    0.000        0.234    0.388    0.184    0.271    0.222    0.000
  0.34633E+00  0.25609E+01        0.103    0.112    0.072    0.074    0.111    0.000        0.233    0.385    0.183    0.273    0.224    0.000
  0.36942E+00  0.25658E+01        0.104    0.111    0.071    0.072    0.112    0.000        0.231    0.382    0.181    0.275    0.226    0.000
  0.39251E+00  0.25695E+01        0.106    0.110    0.070    0.070    0.113    0.000        0.229    0.378    0.180    0.278    0.228    0.000
  0.41559E+00  0.25746E+01        0.107    0.109    0.069    0.068    0.115    0.000        0.227    0.372    0.179    0.280    0.230    0.000
  0.43868E+00  0.25801E+01        0.108    0.109    0.067    0.067    0.116    0.000        0.225    0.367    0.177    0.283    0.232    0.000
  0.46177E+00  0.25842E+01        0.110    0.108    0.066    0.066    0.117    0.000        0.222    0.361    0.176    0.285    0.233    0.000
  0.48485E+00  0.25881E+01        0.111    0.107    0.066    0.065    0.119    0.000        0.219    0.355    0.174    0.287    0.234    0.000
  0.50794E+00  0.25917E+01        0.113    0.107    0.065    0.064    0.121    0.000        0.216    0.349    0.173    0.289    0.236    0.000
  0.53102E+00  0.25950E+01        0.115    0.106    0.064    0.063    0.123    0.000        0.213    0.342    0.171    0.291    0.237    0.000
  0.55411E+00  0.25980E+01        0.116    0.106    0.063    0.062    0.124    0.000        0.210    0.336    0.170    0.292    0.238    0.000
  0.57719E+00  0.26010E+01        0.118    0.106    0.063    0.061    0.126    0.000        0.207    0.330    0.169    0.293    0.239    0.000
  0.60027E+00  0.26039E+01        0.120    0.105    0.062    0.061    0.128    0.000        0.204    0.323    0.168    0.294    0.240    0.000
  0.62336E+00  0.26068E+01        0.121    0.105    0.062    0.060    0.130    0.000        0.201    0.316    0.167    0.295    0.241    0.000
  0.64644E+00  0.26097E+01        0.123    0.105    0.061    0.059    0.132    0.000        0.197    0.309    0.166    0.297    0.242    0.000
  0.66952E+00  0.26143E+01        0.124    0.104    0.061    0.059    0.134    0.000        0.194    0.303    0.165    0.299    0.243    0.000
  0.69260E+00  0.26152E+01        0.126    0.104    0.060    0.058    0.136    0.000        0.190    0.295    0.164    0.301    0.243    0.000
  0.71569E+00  0.26197E+01        0.127    0.104    0.060    0.058    0.139    0.000        0.186    0.288    0.163    0.303    0.244    0.000
  0.73877E+00  0.26224E+01        0.129    0.103    0.060    0.058    0.141    0.000        0.182    0.280    0.162    0.306    0.245    0.000
  0.76185E+00  0.26233E+01        0.130    0.103    0.060    0.057    0.143    0.000        0.179    0.272    0.161    0.309    0.245    0.000
  0.78492E+00  0.26258E+01        0.132    0.103    0.059    0.057    0.145    0.000        0.175    0.265    0.161    0.311    0.246    0.000
  0.80800E+00  0.26282E+01        0.133    0.102    0.059    0.057    0.148    0.000        0.171    0.257    0.160    0.314    0.247    0.000
  0.83108E+00  0.26305E+01        0.135    0.102    0.059    0.056    0.150    0.000        0.167    0.249    0.159    0.316    0.247    0.000
  0.85415E+00  0.26328E+01        0.136    0.101    0.059    0.056    0.152    0.000        0.164    0.242    0.159    0.318    0.248    0.000
  0.87723E+00  0.26350E+01        0.138    0.101    0.059    0.056    0.155    0.000        0.160    0.234    0.158    0.321    0.248    0.000
  0.90030E+00  0.26371E+01        0.139    0.100    0.059    0.055    0.157    0.000        0.156    0.227    0.157    0.323    0.249    0.000
  0.92337E+00  0.26392E+01        0.140    0.100    0.059    0.055    0.160    0.000        0.153    0.220    0.157    0.325    0.249    0.000
  0.94644E+00  0.26412E+01        0.142    0.099    0.059    0.055    0.162    0.000        0.149    0.213    0.156    0.327    0.250    0.000
  0.96950E+00  0.26433E+01        0.143    0.099    0.059    0.055    0.165    0.000        0.146    0.206    0.156    0.329    0.250    0.000
  0.99257E+00  0.26452E+01        0.144    0.098    0.059    0.054    0.168    0.000        0.142    0.199    0.155    0.331    0.251    0.000
  0.10156E+01  0.26472E+01        0.146    0.098    0.059    0.054    0.171    0.000        0.139    0.193    0.155    0.333    0.251    0.000
  0.10387E+01  0.26490E+01        0.147    0.097    0.059    0.054    0.173    0.000        0.136    0.186    0.154    0.335    0.251    0.000
  0.10617E+01  0.26509E+01        0.148    0.097    0.059    0.053    0.176    0.000        0.132    0.180    0.154    0.337    0.252    0.000
  0.10848E+01  0.26527E+01        0.149    0.096    0.060    0.053    0.179    0.000        0.129    0.174    0.153    0.339    0.252    0.000
  0.11078E+01  0.26546E+01        0.150    0.096    0.060    0.053    0.182    0.000        0.126    0.169    0.153    0.341    0.252    0.000
  0.11309E+01  0.26565E+01        0.151    0.095    0.060    0.052    0.185    0.000        0.123    0.163    0.152    0.343    0.252    0.000
  0.11539E+01  0.26584E+01        0.152    0.095    0.060    0.052    0.188    0.000        0.120    0.158    0.152    0.345    0.252    0.000
  0.11770E+01  0.26603E+01        0.153    0.094    0.060    0.052    0.191    0.000        0.117    0.153    0.151    0.346    0.252    0.000
  0.12000E+01  0.26622E+01        0.155    0.093    0.060    0.051    0.195    0.000        0.114    0.147    0.150    0.348    0.252    0.000
  0.12230E+01  0.26642E+01        0.156    0.093    0.060    0.051    0.198    0.000        0.111    0.143    0.150    0.349    0.253    0.000
  0.12460E+01  0.26662E+01        0.157    0.092    0.060    0.051    0.201    0.000        0.108    0.138    0.149    0.351    0.253    0.000
  0.12691E+01  0.26683E+01        0.158    0.092    0.060    0.050    0.205    0.000        0.106    0.133    0.149    0.352    0.253    0.000
  0.12921E+01  0.26704E+01        0.159    0.091    0.060    0.050    0.208    0.000        0.103    0.129    0.148    0.354    0.253    0.000
  0.13151E+01  0.26717E+01        0.160    0.090    0.060    0.050    0.212    0.000        0.101    0.124    0.148    0.355    0.253    0.000
  0.13381E+01  0.26741E+01        0.161    0.090    0.060    0.049    0.216    0.000        0.098    0.120    0.147    0.356    0.253    0.000
  0.13611E+01  0.26764E+01        0.162    0.089    0.060    0.049    0.219    0.000        0.096    0.116    0.146    0.357    0.253    0.000
  0.13840E+01  0.26787E+01        0.163    0.089    0.060    0.049    0.223    0.000        0.093    0.112    0.146    0.358    0.253    0.000
  0.14070E+01  0.26812E+01        0.164    0.088    0.060    0.048    0.227    0.000        0.091    0.108    0.145    0.358    0.253    0.000
  0.14300E+01  0.26838E+01        0.165    0.087    0.060    0.048    0.231    0.000        0.089    0.105    0.145    0.359    0.252    0.000
  0.14530E+01  0.26865E+01        0.166    0.086    0.060    0.047    0.235    0.000        0.087    0.101    0.144    0.360    0.252    0.000
  0.14759E+01  0.26890E+01        0.167    0.086    0.060    0.047    0.239    0.000        0.085    0.098    0.144    0.360    0.252    0.000
  0.14988E+01  0.26918E+01        0.168    0.085    0.060    0.047    0.243    0.000        0.083    0.094    0.143    0.361    0.252    0.000
  0.15218E+01  0.26948E+01        0.169    0.084    0.060    0.046    0.248    0.000        0.081    0.091    0.143    0.361    0.252    0.000
  0.15447E+01  0.26978E+01        0.170    0.084    0.060    0.046    0.252    0.000        0.079    0.088    0.142    0.362    0.252    0.000
