  STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4
   0.000   2.000   0.000   0.000   0.000   0.037
   0.010   2.000   0.000   0.000   0.000   0.037
   0.020   2.000   0.000   0.000   0.000   0.037
   0.030   2.000   0.000   0.000   0.000   0.038
   0.040   2.000   0.000   0.000   0.000   0.038
   0.050   2.000   0.000   0.000   0.000   0.039
   0.060   2.000   0.000   0.000   0.000   0.040
   0.070   2.000   0.000   0.000   0.000   0.041
   0.080   2.000   0.000   0.000   0.000   0.042
   0.090   2.000   0.000   0.000   0.000   0.043
   0.100   2.000   0.000   0.000   0.000   0.045
   0.110   2.000   0.000   0.000   0.000   0.046
   0.120   2.000   0.000   0.000   0.000   0.048
   0.130   2.000   0.000   0.000   0.000   0.050
   0.140   2.000   0.000   0.000   0.000   0.052
   0.150   2.000   0.000   0.000   0.000   0.054
   0.160   2.000   0.000   0.000   0.000   0.056
   0.170   2.000   0.000   0.000   0.000   0.059
   0.180   2.000   0.000   0.000   0.000   0.062
   0.190   2.000   0.000   0.000   0.000   0.064
   0.200   2.000   0.000   0.000   0.000   0.067
   0.210   2.000   0.000   0.000   0.000   0.070
   0.220   2.000   0.000   0.000   0.000   0.073
   0.230   2.000   0.000   0.000   0.000   0.076
   0.240   2.000   0.000   0.000   0.000   0.079
   0.250   2.000   0.000   0.000   0.000   0.083
   0.260   2.000   0.000   0.000   0.000   0.086
   0.270   2.000   0.000   0.000   0.000   0.090
   0.280   2.000   0.000   0.000   0.000   0.093
   0.290   2.000   0.000   0.000   0.000   0.096
   0.300   2.000   0.000   0.000   0.000   0.100
   0.310   2.000   0.000   0.000   0.000   0.104
   0.320   2.000   0.000   0.000   0.000   0.107
   0.330   2.000   0.000   0.000   0.000   0.111
   0.340   2.000   0.000   0.000   0.000   0.115
   0.350   2.000   0.000   0.000   0.000   0.118
   0.360   2.000   0.000   0.000   0.000   0.122
   0.370   2.000   0.000   0.000   0.000   0.126
   0.380   2.000   0.000   0.000   0.000   0.129
   0.390   2.000   0.000   0.000   0.000   0.133
   0.400   2.000   0.000   0.000   0.000   0.137
   0.410   2.000   0.000   0.000   0.000   0.141
   0.420   2.000   0.000   0.000   0.000   0.144
   0.430   2.000   0.000   0.000   0.000   0.148
   0.440   2.000   0.000   0.000   0.000   0.151
   0.450   2.000   0.000   0.000   0.000   0.155
   0.460   2.000   0.000   0.000   0.000   0.159
   0.470   2.000   0.000   0.000   0.000   0.162
   0.480   2.000   0.000   0.000   0.000   0.165
   0.490   2.000   0.000   0.000   0.000   0.169
   0.500   2.000   0.000   0.000   0.000   0.172
