
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.489E-02   0.414E-02   0.557E-02
    2   0.359E-02   0.633E-02   0.418E-02
    3   0.143E-02   0.475E-02   0.116E-02
    4   0.629E-03   0.270E-02   0.830E-03
    5   0.523E-03   0.134E-02   0.117E-02
    6   0.412E-03   0.103E-02   0.650E-03
    7   0.418E-03   0.953E-03   0.357E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.631E-03   0.149E-02   0.156E-02
    2   0.366E-03   0.156E-02   0.771E-03
    3   0.630E-03   0.108E-02   0.692E-03
    4   0.235E-03   0.700E-03   0.172E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.576E-03   0.937E-03   0.142E-02
    2   0.205E-03   0.113E-02   0.585E-03
    3   0.567E-03   0.822E-03   0.674E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.634E-03   0.145E-02   0.164E-02
    2   0.496E-03   0.154E-02   0.898E-03
    3   0.631E-03   0.114E-02   0.598E-03
    4   0.243E-03   0.846E-03   0.312E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.466E-03   0.801E-03   0.108E-02
    2   0.111E-03   0.852E-03   0.375E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.121E-02   0.107E-02   0.115E-02
    2   0.355E-03   0.119E-02   0.503E-03
    3   0.437E-03   0.103E-02   0.382E-03
    4   0.139E-03   0.806E-03   0.282E-03
