    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.248     0.474     0.003     0.005     0.013     0.362     0.661     0.002     0.005     0.031
     0.010     0.251     0.473     0.002     0.005     0.012     0.361     0.660     0.002     0.005     0.031
     0.020     0.254     0.472     0.002     0.005     0.012     0.360     0.659     0.002     0.005     0.031
     0.030     0.257     0.471     0.002     0.005     0.011     0.359     0.658     0.002     0.005     0.031
     0.040     0.259     0.470     0.002     0.005     0.011     0.358     0.657     0.002     0.005     0.032
     0.050     0.262     0.469     0.002     0.005     0.011     0.357     0.656     0.002     0.005     0.032
     0.060     0.265     0.468     0.002     0.005     0.011     0.356     0.654     0.002     0.005     0.032
     0.070     0.267     0.468     0.002     0.005     0.011     0.354     0.652     0.002     0.006     0.032
     0.080     0.270     0.467     0.002     0.005     0.011     0.352     0.650     0.001     0.006     0.033
     0.090     0.272     0.466     0.002     0.005     0.011     0.351     0.648     0.001     0.006     0.033
     0.100     0.275     0.466     0.002     0.005     0.011     0.349     0.645     0.001     0.006     0.033
     0.110     0.277     0.465     0.002     0.006     0.011     0.346     0.643     0.001     0.006     0.034
     0.120     0.280     0.465     0.001     0.006     0.012     0.344     0.640     0.001     0.006     0.034
     0.130     0.282     0.465     0.001     0.006     0.012     0.342     0.637     0.001     0.006     0.035
     0.140     0.284     0.464     0.001     0.006     0.013     0.339     0.634     0.001     0.006     0.035
     0.150     0.286     0.464     0.001     0.006     0.013     0.337     0.631     0.001     0.006     0.036
     0.160     0.289     0.464     0.001     0.006     0.014     0.334     0.628     0.000     0.006     0.036
     0.170     0.291     0.464     0.001     0.006     0.014     0.331     0.625     0.000     0.006     0.037
     0.180     0.293     0.464     0.001     0.006     0.015     0.329     0.621     0.000     0.006     0.038
     0.190     0.295     0.464     0.001     0.006     0.016     0.326     0.618     0.000     0.007     0.038
     0.200     0.297     0.464     0.001     0.006     0.017     0.323     0.614     0.000     0.007     0.039
     0.210     0.299     0.464     0.001     0.006     0.018     0.320     0.611     0.000     0.007     0.039
     0.220     0.300     0.464     0.000     0.006     0.019     0.316     0.607     0.000     0.007     0.040
     0.230     0.302     0.464     0.000     0.007     0.020     0.313     0.603     0.000     0.007     0.041
     0.240     0.304     0.464     0.000     0.007     0.021     0.310     0.599     0.000     0.007     0.041
     0.250     0.306     0.464     0.000     0.007     0.023     0.306     0.594     0.001     0.007     0.042
     0.260     0.307     0.464     0.000     0.007     0.024     0.302     0.589     0.001     0.008     0.042
     0.270     0.309     0.465     0.000     0.007     0.025     0.299     0.585     0.001     0.008     0.043
     0.280     0.310     0.465     0.000     0.007     0.027     0.295     0.581     0.001     0.008     0.044
     0.290     0.312     0.465     0.000     0.007     0.028     0.291     0.577     0.001     0.008     0.044
     0.300     0.313     0.466     0.000     0.007     0.029     0.287     0.572     0.001     0.008     0.045
     0.310     0.314     0.466     0.001     0.007     0.031     0.284     0.567     0.001     0.008     0.045
     0.320     0.316     0.466     0.001     0.007     0.032     0.280     0.562     0.001     0.009     0.046
     0.330     0.317     0.467     0.001     0.008     0.034     0.276     0.558     0.001     0.009     0.046
     0.340     0.318     0.467     0.001     0.008     0.035     0.272     0.553     0.002     0.009     0.047
     0.350     0.319     0.467     0.001     0.008     0.037     0.268     0.548     0.002     0.009     0.047
     0.360     0.320     0.468     0.001     0.008     0.038     0.264     0.544     0.002     0.009     0.047
     0.370     0.321     0.468     0.001     0.008     0.040     0.260     0.539     0.002     0.009     0.048
     0.380     0.322     0.469     0.001     0.008     0.041     0.256     0.535     0.002     0.010     0.048
     0.390     0.322     0.469     0.001     0.008     0.043     0.252     0.530     0.002     0.010     0.048
     0.400     0.323     0.470     0.002     0.008     0.044     0.248     0.525     0.002     0.010     0.049
     0.410     0.324     0.470     0.002     0.008     0.045     0.244     0.520     0.002     0.010     0.049
     0.420     0.325     0.470     0.002     0.008     0.047     0.240     0.516     0.002     0.010     0.049
     0.430     0.325     0.471     0.002     0.008     0.048     0.236     0.511     0.002     0.011     0.049
     0.440     0.326     0.471     0.002     0.008     0.049     0.232     0.506     0.003     0.011     0.049
     0.450     0.326     0.472     0.002     0.009     0.051     0.228     0.501     0.003     0.011     0.049
     0.460     0.327     0.473     0.002     0.009     0.052     0.224     0.497     0.003     0.011     0.049
     0.470     0.327     0.473     0.002     0.009     0.053     0.220     0.492     0.003     0.011     0.049
     0.480     0.327     0.474     0.002     0.009     0.054     0.217     0.487     0.003     0.011     0.049
     0.490     0.327     0.474     0.002     0.009     0.055     0.213     0.483     0.003     0.012     0.049
     0.500     0.328     0.475     0.003     0.009     0.057     0.208     0.477     0.003     0.012     0.049
