
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.135E+01   0.521E+00   0.721E+00
    2   0.686E-01   0.191E+01   0.595E+00
    3   0.218E+00   0.110E+01   0.410E+00
    4   0.116E+00   0.888E+00   0.191E+00
    5   0.406E-01   0.703E+00   0.600E-01
    6   0.253E-01   0.517E+00   0.318E-01
    7   0.178E-01   0.356E+00   0.210E-01
    8   0.742E-02   0.236E+00   0.855E-02
    9   0.376E-02   0.157E+00   0.474E-02
   10   0.343E-02   0.106E+00   0.415E-02
   11   0.209E-02   0.732E-01   0.259E-02
   12   0.127E-02   0.504E-01   0.142E-02
   13   0.801E-03   0.345E-01   0.118E-02
   14   0.810E-03   0.233E-01   0.737E-03
   15   0.595E-03   0.132E-01   0.521E-03
   16   0.350E-03   0.588E-02   0.283E-03
   17   0.192E-03   0.168E-02   0.247E-03
   18   0.983E-04   0.596E-03   0.284E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.296E-02   0.253E-02   0.227E-02
    2   0.131E-02   0.196E-01   0.143E-02
    3   0.111E-02   0.120E-01   0.515E-03
    4   0.174E-03   0.435E-02   0.221E-03
    5   0.245E-03   0.174E-02   0.375E-04
    6   0.847E-04   0.199E-03   0.912E-04

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.301E-02   0.165E-02   0.224E-02
    2   0.129E-02   0.192E-01   0.144E-02
    3   0.110E-02   0.118E-01   0.519E-03
    4   0.171E-03   0.427E-02   0.234E-03
    5   0.241E-03   0.171E-02   0.958E-04
    6   0.928E-04   0.180E-03   0.141E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.301E-02   0.169E-02   0.231E-02
    2   0.133E-02   0.192E-01   0.154E-02
    3   0.113E-02   0.117E-01   0.561E-03
    4   0.192E-03   0.431E-02   0.274E-03
    5   0.248E-03   0.175E-02   0.160E-03
    6   0.112E-03   0.286E-03   0.214E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.322E-02   0.161E-02   0.213E-02
    2   0.122E-02   0.180E-01   0.139E-02
    3   0.105E-02   0.109E-01   0.507E-03
    4   0.174E-03   0.394E-02   0.218E-03
    5   0.227E-03   0.159E-02   0.115E-03
    6   0.876E-04   0.244E-03   0.174E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.326E-02   0.174E-02   0.217E-02
    2   0.125E-02   0.180E-01   0.144E-02
    3   0.107E-02   0.109E-01   0.529E-03
    4   0.181E-03   0.397E-02   0.244E-03
    5   0.231E-03   0.163E-02   0.153E-03
    6   0.101E-03   0.310E-03   0.213E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.330E-02   0.183E-02   0.220E-02
    2   0.127E-02   0.179E-01   0.150E-02
    3   0.109E-02   0.109E-01   0.559E-03
    4   0.197E-03   0.399E-02   0.268E-03
    5   0.236E-03   0.167E-02   0.185E-03
    6   0.112E-03   0.376E-03   0.250E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.334E-02   0.194E-02   0.224E-02
    2   0.130E-02   0.178E-01   0.156E-02
    3   0.112E-02   0.108E-01   0.590E-03
    4   0.213E-03   0.401E-02   0.293E-03
    5   0.243E-03   0.172E-02   0.213E-03
    6   0.123E-03   0.440E-03   0.283E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.338E-02   0.206E-02   0.228E-02
    2   0.133E-02   0.176E-01   0.162E-02
    3   0.115E-02   0.107E-01   0.622E-03
    4   0.230E-03   0.403E-02   0.321E-03
    5   0.250E-03   0.178E-02   0.239E-03
    6   0.134E-03   0.505E-03   0.312E-03

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.343E-02   0.220E-02   0.232E-02
    2   0.137E-02   0.175E-01   0.168E-02
    3   0.118E-02   0.107E-01   0.653E-03
