    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.265     0.458     0.015     0.001     0.022     0.418     0.721     0.021     0.001     0.030
     0.010     0.269     0.456     0.015     0.001     0.022     0.418     0.721     0.021     0.001     0.030
     0.020     0.273     0.454     0.015     0.001     0.022     0.417     0.721     0.021     0.001     0.030
     0.030     0.276     0.452     0.015     0.001     0.022     0.417     0.721     0.021     0.001     0.030
     0.040     0.280     0.450     0.015     0.001     0.023     0.416     0.720     0.021     0.001     0.031
     0.050     0.284     0.448     0.015     0.001     0.023     0.416     0.719     0.021     0.001     0.031
     0.060     0.288     0.447     0.015     0.001     0.024     0.415     0.718     0.021     0.001     0.032
     0.070     0.292     0.445     0.015     0.001     0.025     0.414     0.716     0.022     0.001     0.033
     0.080     0.296     0.444     0.015     0.001     0.026     0.413     0.715     0.022     0.001     0.034
     0.090     0.300     0.442     0.015     0.001     0.027     0.412     0.713     0.023     0.001     0.035
     0.100     0.304     0.441     0.016     0.001     0.028     0.411     0.711     0.023     0.001     0.036
     0.110     0.308     0.440     0.016     0.001     0.029     0.409     0.709     0.023     0.001     0.037
     0.120     0.312     0.439     0.016     0.001     0.030     0.408     0.706     0.024     0.001     0.039
     0.130     0.317     0.438     0.016     0.001     0.032     0.406     0.703     0.024     0.002     0.040
     0.140     0.321     0.437     0.017     0.001     0.033     0.404     0.700     0.025     0.002     0.042
     0.150     0.325     0.435     0.017     0.001     0.035     0.402     0.697     0.026     0.002     0.044
     0.160     0.329     0.435     0.017     0.002     0.037     0.400     0.694     0.026     0.002     0.046
     0.170     0.333     0.434     0.017     0.002     0.039     0.397     0.690     0.027     0.002     0.047
     0.180     0.337     0.433     0.018     0.002     0.041     0.395     0.686     0.027     0.002     0.050
     0.190     0.341     0.432     0.018     0.002     0.043     0.392     0.682     0.028     0.003     0.052
     0.200     0.345     0.431     0.018     0.002     0.045     0.389     0.677     0.029     0.003     0.054
     0.210     0.349     0.430     0.019     0.002     0.048     0.386     0.673     0.029     0.003     0.057
     0.220     0.353     0.429     0.019     0.002     0.051     0.383     0.668     0.030     0.003     0.060
     0.230     0.357     0.429     0.019     0.003     0.054     0.380     0.663     0.030     0.003     0.062
     0.240     0.361     0.428     0.019     0.003     0.056     0.377     0.657     0.031     0.004     0.065
     0.250     0.365     0.427     0.019     0.003     0.060     0.373     0.652     0.031     0.004     0.068
     0.260     0.369     0.427     0.020     0.003     0.063     0.370     0.647     0.032     0.004     0.071
     0.270     0.372     0.426     0.020     0.003     0.066     0.365     0.640     0.032     0.005     0.074
     0.280     0.376     0.425     0.020     0.003     0.069     0.362     0.635     0.032     0.005     0.077
     0.290     0.380     0.425     0.020     0.004     0.073     0.358     0.629     0.033     0.005     0.080
     0.300     0.383     0.424     0.020     0.004     0.077     0.354     0.623     0.033     0.005     0.083
     0.310     0.386     0.423     0.020     0.004     0.080     0.349     0.617     0.033     0.006     0.087
     0.320     0.390     0.423     0.020     0.004     0.084     0.345     0.610     0.033     0.006     0.090
     0.330     0.393     0.422     0.020     0.004     0.088     0.341     0.604     0.033     0.006     0.093
     0.340     0.396     0.422     0.020     0.004     0.092     0.336     0.598     0.033     0.006     0.096
     0.350     0.399     0.421     0.020     0.004     0.096     0.332     0.591     0.033     0.006     0.100
     0.360     0.402     0.420     0.020     0.004     0.101     0.327     0.585     0.033     0.007     0.103
     0.370     0.405     0.420     0.019     0.004     0.105     0.323     0.578     0.033     0.007     0.106
     0.380     0.407     0.419     0.019     0.004     0.109     0.318     0.572     0.033     0.007     0.109
     0.390     0.410     0.419     0.019     0.005     0.113     0.314     0.566     0.033     0.007     0.112
     0.400     0.412     0.418     0.019     0.005     0.118     0.309     0.559     0.033     0.007     0.115
     0.410     0.415     0.418     0.019     0.005     0.122     0.304     0.553     0.032     0.007     0.118
     0.420     0.417     0.417     0.019     0.005     0.126     0.299     0.546     0.032     0.007     0.121
     0.430     0.419     0.417     0.018     0.005     0.130     0.295     0.540     0.032     0.007     0.123
     0.440     0.421     0.416     0.018     0.004     0.135     0.290     0.534     0.031     0.007     0.126
     0.450     0.423     0.416     0.018     0.004     0.139     0.285     0.527     0.031     0.007     0.129
     0.460     0.425     0.415     0.018     0.004     0.144     0.281     0.521     0.030     0.007     0.132
     0.470     0.427     0.415     0.017     0.004     0.148     0.276     0.515     0.030     0.007     0.134
     0.480     0.428     0.415     0.017     0.004     0.153     0.271     0.509     0.030     0.007     0.136
     0.490     0.430     0.414     0.017     0.004     0.157     0.267     0.504     0.029     0.007     0.139
     0.500     0.431     0.414     0.016     0.004     0.161     0.262     0.498     0.029     0.007     0.141
