          Evm           Svm             E11           E22           E33           E23           E13           E12          SCAU11        SCAU22        SCAU33        SCAU23        SCAU13        SCAU12       TEMP
     0.000000     58.252000        0.000000      0.000000      0.000000      0.000000      0.000000      0.000000       20.966000     17.826000    -38.791000      0.142460     -0.077438      0.127520   1228.600000
     0.005043     58.257000        0.002682      0.002358     -0.005039      0.000051     -0.000044     -0.000054       20.989000     17.804000    -38.794000      0.153960     -0.100710      0.107430   1228.600000
     0.010086     58.239000        0.005364      0.004715     -0.010079      0.000103     -0.000087     -0.000108       20.981000     17.801000    -38.782000      0.148330     -0.088762      0.113020   1228.600000
     0.015128     58.167000        0.008046      0.007073     -0.015119      0.000154     -0.000131     -0.000163       20.973000     17.760000    -38.733000      0.160010     -0.114540      0.097086   1228.600000
     0.020171     58.157000        0.010728      0.009430     -0.020158      0.000205     -0.000175     -0.000217       20.959000     17.767000    -38.727000      0.159290     -0.107470      0.097007   1228.600000
     0.025214     58.122000        0.013409      0.011788     -0.025198      0.000256     -0.000219     -0.000271       20.971000     17.731000    -38.702000      0.155530     -0.116690      0.093859   1228.600000
     0.030257     58.108000        0.016091      0.014146     -0.030237      0.000308     -0.000262     -0.000325       20.957000     17.736000    -38.693000      0.155720     -0.110850      0.093812   1228.600000
     0.035300     58.073000        0.018773      0.016503     -0.035277      0.000359     -0.000306     -0.000380       20.967000     17.702000    -38.668000      0.157400     -0.125800      0.085526   1228.600000
     0.040343     58.063000        0.021455      0.018861     -0.040316      0.000410     -0.000350     -0.000434       20.954000     17.709000    -38.662000      0.156850     -0.119470      0.086083   1228.600000
     0.045386     58.033000        0.024137      0.021219     -0.045356      0.000462     -0.000394     -0.000488       20.967000     17.674000    -38.641000      0.156610     -0.131190      0.080743   1228.600000
     0.050428     58.024000        0.026819      0.023576     -0.050395      0.000513     -0.000437     -0.000542       20.954000     17.681000    -38.636000      0.156630     -0.125920      0.080824   1228.600000
