  STRAIN   AVACS   PRITW   SECTW   MODE1   MODE2   MODE3   MODE4   TWFR3   EFFR3   TWFR4   EFFR4
   0.000   3.312   0.000   0.000   0.655   0.345   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   3.913   0.000   0.000   0.433   0.556   0.010   0.000   0.000   0.000   0.000   0.000
   0.020   3.800   0.000   0.000   0.467   0.519   0.014   0.000   0.002   0.000   0.000   0.000
   0.030   3.721   0.001   0.000   0.494   0.488   0.017   0.001   0.004   0.001   0.000   0.000
   0.040   3.678   0.004   0.000   0.510   0.470   0.018   0.003   0.007   0.004   0.000   0.000
   0.050   3.725   0.006   0.000   0.517   0.459   0.018   0.006   0.010   0.006   0.000   0.000
   0.060   3.831   0.011   0.000   0.516   0.457   0.016   0.011   0.013   0.011   0.001   0.000
   0.070   3.949   0.016   0.000   0.511   0.459   0.014   0.016   0.016   0.016   0.003   0.000
   0.080   4.032   0.018   0.000   0.506   0.460   0.013   0.021   0.018   0.018   0.005   0.000
   0.090   4.073   0.020   0.000   0.499   0.464   0.013   0.024   0.020   0.020   0.007   0.000
   0.100   4.079   0.023   0.000   0.491   0.472   0.012   0.025   0.023   0.023   0.011   0.000
   0.110   4.065   0.025   0.000   0.483   0.481   0.011   0.024   0.025   0.025   0.014   0.000
   0.120   4.027   0.027   0.000   0.477   0.490   0.010   0.022   0.027   0.027   0.017   0.001
   0.130   3.943   0.030   0.000   0.473   0.497   0.010   0.019   0.028   0.028   0.020   0.002
   0.140   3.843   0.033   0.000   0.469   0.505   0.010   0.016   0.030   0.030   0.022   0.003
   0.150   3.799   0.036   0.000   0.465   0.512   0.010   0.013   0.032   0.032   0.024   0.004
