          S1          S2          D1          D2
  0.3102E+01 -0.1773E+03 -0.4843E-07 -0.5639E-02
 -0.3257E+01 -0.1771E+03 -0.9923E-03 -0.5627E-02
 -0.9730E+01 -0.1756E+03 -0.2032E-02 -0.5583E-02
 -0.1577E+02 -0.1719E+03 -0.3191E-02 -0.5525E-02
 -0.2094E+02 -0.1671E+03 -0.4544E-02 -0.5414E-02
 -0.2560E+02 -0.1611E+03 -0.6218E-02 -0.5218E-02
 -0.3043E+02 -0.1523E+03 -0.8447E-02 -0.4877E-02
 -0.3603E+02 -0.1354E+03 -0.1172E-01 -0.4266E-02
 -0.4367E+02 -0.8392E+02 -0.1710E-01 -0.3017E-02
 -0.4867E+02  0.3660E+01 -0.2055E-01 -0.6758E-06
 -0.4462E+02  0.9245E+02 -0.1642E-01  0.2893E-02
 -0.3833E+02  0.1172E+03 -0.1235E-01  0.4494E-02
 -0.3380E+02  0.1285E+03 -0.9260E-02  0.5347E-02
 -0.3016E+02  0.1367E+03 -0.6904E-02  0.5793E-02
 -0.2632E+02  0.1442E+03 -0.5046E-02  0.6013E-02
 -0.2139E+02  0.1515E+03 -0.3523E-02  0.6102E-02
 -0.1490E+02  0.1566E+03 -0.2246E-02  0.6171E-02
 -0.8370E+01  0.1593E+03 -0.1097E-02  0.6221E-02
 -0.2371E+01  0.1598E+03 -0.5069E-06  0.6257E-02
  0.3614E+01  0.1598E+03  0.1099E-02  0.6233E-02
  0.1042E+02  0.1580E+03  0.2250E-02  0.6180E-02
  0.1783E+02  0.1534E+03  0.3528E-02  0.6108E-02
  0.2387E+02  0.1455E+03  0.5069E-02  0.6041E-02
  0.2829E+02  0.1369E+03  0.6986E-02  0.5863E-02
  0.3226E+02  0.1276E+03  0.9438E-02  0.5449E-02
  0.3715E+02  0.1150E+03  0.1265E-01  0.4606E-02
  0.4366E+02  0.8327E+02  0.1714E-01  0.3023E-02
  0.4867E+02 -0.3660E+01  0.2055E-01  0.6704E-06
  0.4466E+02 -0.9620E+02  0.1623E-01 -0.2860E-02
  0.3739E+02 -0.1389E+03  0.1137E-01 -0.4139E-02
  0.3234E+02 -0.1531E+03  0.8283E-02 -0.4783E-02
  0.2813E+02 -0.1609E+03  0.6130E-02 -0.5143E-02
  0.2412E+02 -0.1663E+03  0.4499E-02 -0.5361E-02
  0.1989E+02 -0.1706E+03  0.3171E-02 -0.5493E-02
  0.1496E+02 -0.1743E+03  0.2025E-02 -0.5565E-02
  0.9121E+01 -0.1765E+03  0.9896E-03 -0.5613E-02
          S1          S2          D1          D2
  0.2089E+01 -0.4330E+03 -0.2003E-07 -0.2309E-02
 -0.1353E+02 -0.4324E+03 -0.4055E-03 -0.2300E-02
 -0.3172E+02 -0.4302E+03 -0.8239E-03 -0.2264E-02
 -0.5631E+02 -0.4236E+03 -0.1266E-02 -0.2193E-02
 -0.8624E+02 -0.4083E+03 -0.1746E-02 -0.2081E-02
 -0.1096E+03 -0.3877E+03 -0.2300E-02 -0.1929E-02
 -0.1268E+03 -0.3651E+03 -0.2962E-02 -0.1710E-02
 -0.1439E+03 -0.3340E+03 -0.3767E-02 -0.1371E-02
 -0.1661E+03 -0.2589E+03 -0.4722E-02 -0.8330E-03
 -0.1749E+03 -0.9245E+01 -0.5719E-02 -0.2525E-06
 -0.1542E+03  0.1406E+03 -0.5588E-02  0.9850E-03
 -0.1364E+03  0.1877E+03 -0.4884E-02  0.1778E-02
 -0.1223E+03  0.2211E+03 -0.4001E-02  0.2310E-02
 -0.1072E+03  0.2544E+03 -0.3119E-02  0.2617E-02
 -0.8233E+02  0.2959E+03 -0.2299E-02  0.2740E-02
 -0.4916E+02  0.3231E+03 -0.1642E-02  0.2845E-02
 -0.2781E+02  0.3294E+03 -0.1072E-02  0.2946E-02
 -0.1272E+02  0.3317E+03 -0.5285E-03  0.2994E-02
  0.8683E+00  0.3318E+03  0.3895E-07  0.3014E-02
  0.1436E+02  0.3312E+03  0.5280E-03  0.2996E-02
  0.2936E+02  0.3295E+03  0.1070E-02  0.2940E-02
  0.5073E+02  0.3240E+03  0.1635E-02  0.2830E-02
  0.8520E+02  0.2959E+03  0.2284E-02  0.2722E-02
  0.1093E+03  0.2540E+03  0.3101E-02  0.2603E-02
  0.1233E+03  0.2220E+03  0.3976E-02  0.2296E-02
  0.1366E+03  0.1901E+03  0.4861E-02  0.1769E-02
  0.1536E+03  0.1444E+03  0.5583E-02  0.9847E-03
  0.1755E+03 -0.6703E+01  0.5697E-02  0.2345E-06
  0.1675E+03 -0.2629E+03  0.4677E-02 -0.8243E-03
  0.1437E+03 -0.3363E+03  0.3758E-02 -0.1368E-02
  0.1258E+03 -0.3674E+03  0.2959E-02 -0.1709E-02
  0.1082E+03 -0.3892E+03  0.2300E-02 -0.1930E-02
  0.8597E+02 -0.4083E+03  0.1746E-02 -0.2081E-02
  0.5873E+02 -0.4228E+03  0.1264E-02 -0.2190E-02
  0.3547E+02 -0.4296E+03  0.8225E-03 -0.2260E-02
  0.1769E+02 -0.4321E+03  0.4053E-03 -0.2298E-02
          S1          S2          D1          D2
  0.8077E-01 -0.4855E+03 -0.2627E-07 -0.2060E-02
 -0.1714E+02 -0.4855E+03 -0.3609E-03 -0.2047E-02
 -0.3894E+02 -0.4844E+03 -0.7300E-03 -0.2006E-02
 -0.7680E+02 -0.4779E+03 -0.1105E-02 -0.1915E-02
 -0.1462E+03 -0.4440E+03 -0.1480E-02 -0.1764E-02
 -0.1868E+03 -0.4065E+03 -0.1895E-02 -0.1590E-02
 -0.2107E+03 -0.3732E+03 -0.2346E-02 -0.1354E-02
 -0.2330E+03 -0.3315E+03 -0.2828E-02 -0.1029E-02
 -0.2568E+03 -0.2515E+03 -0.3320E-02 -0.5858E-03
 -0.2593E+03 -0.2823E+02 -0.3856E-02 -0.2715E-06
 -0.2381E+03  0.1450E+03 -0.3793E-02  0.6684E-03
 -0.2125E+03  0.2338E+03 -0.3361E-02  0.1223E-02
 -0.1882E+03  0.2985E+03 -0.2774E-02  0.1601E-02
 -0.1586E+03  0.3623E+03 -0.2162E-02  0.1813E-02
 -0.1041E+03  0.4322E+03 -0.1615E-02  0.1925E-02
 -0.5045E+02  0.4548E+03 -0.1193E-02  0.2066E-02
 -0.2810E+02  0.4566E+03 -0.7799E-03  0.2142E-02
 -0.1190E+02  0.4583E+03 -0.3835E-03  0.2172E-02
  0.2415E+01  0.4588E+03  0.4647E-07  0.2180E-02
  0.1673E+02  0.4581E+03  0.3826E-03  0.2169E-02
  0.3290E+02  0.4562E+03  0.7773E-03  0.2136E-02
  0.5551E+02  0.4553E+03  0.1185E-02  0.2052E-02
  0.1129E+03  0.4314E+03  0.1595E-02  0.1901E-02
  0.1647E+03  0.3625E+03  0.2133E-02  0.1790E-02
  0.1914E+03  0.3026E+03  0.2731E-02  0.1577E-02
  0.2140E+03  0.2415E+03  0.3312E-02  0.1206E-02
  0.2384E+03  0.1560E+03  0.3761E-02  0.6634E-03
  0.2603E+03 -0.1675E+02  0.3841E-02  0.2678E-06
  0.2561E+03 -0.2447E+03  0.3342E-02 -0.5889E-03
  0.2312E+03 -0.3287E+03  0.2850E-02 -0.1037E-02
  0.2074E+03 -0.3725E+03  0.2367E-02 -0.1367E-02
  0.1816E+03 -0.4068E+03  0.1912E-02 -0.1605E-02
  0.1397E+03 -0.4442E+03  0.1495E-02 -0.1781E-02
  0.7400E+02 -0.4766E+03  0.1112E-02 -0.1926E-02
  0.3827E+02 -0.4834E+03  0.7318E-03 -0.2011E-02
  0.1712E+02 -0.4850E+03  0.3613E-03 -0.2049E-02
