
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.765E+00   0.144E+00   0.578E+00
    2   0.206E+00   0.641E+00   0.460E+00
    3   0.590E-01   0.414E+00   0.241E+00
    4   0.151E-01   0.174E+00   0.811E-01
    5   0.132E-01   0.107E+00   0.537E-01
    6   0.116E-01   0.989E-01   0.466E-01
    7   0.688E-02   0.702E-01   0.291E-01
    8   0.384E-02   0.447E-01   0.171E-01
    9   0.267E-02   0.303E-01   0.124E-01
   10   0.211E-02   0.228E-01   0.988E-02
   11   0.162E-02   0.176E-01   0.761E-02
   12   0.124E-02   0.134E-01   0.573E-02
   13   0.930E-03   0.101E-01   0.429E-02
   14   0.706E-03   0.766E-02   0.325E-02
   15   0.541E-03   0.579E-02   0.249E-02
   16   0.527E-03   0.430E-02   0.166E-02
   17   0.420E-03   0.298E-02   0.108E-02
   18   0.314E-03   0.202E-02   0.715E-03
   19   0.231E-03   0.137E-02   0.479E-03
   20   0.170E-03   0.963E-03   0.326E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.131E+00   0.100E+00   0.778E+00
    2   0.765E-01   0.122E+01   0.308E+00
    3   0.538E-01   0.231E+00   0.408E-01
    4   0.549E-01   0.778E-01   0.796E-01
    5   0.174E-01   0.782E-01   0.358E-01
    6   0.190E-02   0.286E-01   0.519E-02
    7   0.333E-02   0.108E-01   0.576E-02
    8   0.193E-02   0.114E-01   0.436E-02
    9   0.102E-02   0.913E-02   0.260E-02
   10   0.867E-03   0.765E-02   0.233E-02
   11   0.840E-03   0.698E-02   0.222E-02
   12   0.756E-03   0.645E-02   0.198E-02
   13   0.670E-03   0.592E-02   0.176E-02
   14   0.604E-03   0.544E-02   0.159E-02
   15   0.550E-03   0.498E-02   0.145E-02
   16   0.502E-03   0.455E-02   0.132E-02
   17   0.459E-03   0.416E-02   0.121E-02
   18   0.420E-03   0.380E-02   0.111E-02
   19   0.384E-03   0.348E-02   0.101E-02
   20   0.350E-03   0.318E-02   0.924E-03
   21   0.477E-03   0.278E-02   0.390E-03
   22   0.277E-03   0.257E-02   0.731E-03
   23   0.380E-03   0.224E-02   0.317E-03
   24   0.390E-03   0.194E-02   0.192E-03
   25   0.190E-03   0.179E-02   0.500E-03
   26   0.257E-03   0.155E-02   0.226E-03
   27   0.263E-03   0.133E-02   0.140E-03
   28   0.243E-03   0.114E-02   0.148E-03
   29   0.213E-03   0.976E-03   0.155E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.111E+00   0.898E-01   0.397E+00
    2   0.604E-01   0.443E+00   0.169E+00
    3   0.556E-02   0.131E+00   0.162E-01
    4   0.159E-01   0.729E-02   0.248E-01
    5   0.850E-02   0.298E-01   0.182E-01
    6   0.236E-02   0.177E-01   0.609E-02
    7   0.766E-03   0.744E-02   0.179E-02
    8   0.893E-03   0.537E-02   0.210E-02
    9   0.492E-03   0.427E-02   0.140E-02
   10   0.493E-03   0.307E-02   0.514E-03
   11   0.273E-03   0.231E-02   0.821E-03
   12   0.328E-03   0.199E-02   0.457E-03
   13   0.334E-03   0.168E-02   0.259E-03
   14   0.300E-03   0.142E-02   0.219E-03
   15   0.258E-03   0.121E-02   0.238E-03
   16   0.217E-03   0.103E-02   0.210E-03
   17   0.181E-03   0.857E-03   0.164E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.808E-01   0.639E-01   0.291E+00
    2   0.448E-01   0.321E+00   0.134E+00
    3   0.532E-02   0.107E+00   0.203E-01
    4   0.979E-02   0.430E-02   0.161E-01
    5   0.642E-02   0.215E-01   0.149E-01
    6   0.212E-02   0.150E-01   0.644E-02
    7   0.553E-03   0.696E-02   0.178E-02
    8   0.554E-03   0.418E-02   0.147E-02
    9   0.388E-03   0.342E-02   0.126E-02
   10   0.376E-03   0.257E-02   0.553E-03
   11   0.337E-03   0.176E-02   0.354E-03
   12   0.280E-03   0.134E-02   0.529E-03
   13   0.251E-03   0.118E-02   0.468E-03
   14   0.223E-03   0.999E-03   0.264E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.681E-01   0.486E-01   0.232E+00
    2   0.364E-01   0.256E+00   0.114E+00
    3   0.587E-02   0.935E-01   0.224E-01
    4   0.664E-02   0.788E-02   0.109E-01
    5   0.513E-02   0.161E-01   0.125E-01
    6   0.209E-02   0.129E-01   0.625E-02
    7   0.651E-03   0.623E-02   0.180E-02
    8   0.367E-03   0.320E-02   0.128E-02
    9   0.415E-03   0.285E-02   0.139E-02
   10   0.334E-03   0.225E-02   0.669E-03
   11   0.315E-03   0.150E-02   0.205E-03
   12   0.238E-03   0.104E-02   0.442E-03
   13   0.203E-03   0.947E-03   0.496E-03

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.567E-01   0.380E-01   0.186E+00
    2   0.301E-01   0.206E+00   0.969E-01
    3   0.586E-02   0.812E-01   0.223E-01
    4   0.463E-02   0.102E-01   0.718E-02
    5   0.406E-02   0.119E-01   0.102E-01
    6   0.182E-02   0.107E-01   0.562E-02
    7   0.616E-03   0.551E-02   0.186E-02
    8   0.268E-03   0.263E-02   0.933E-03
    9   0.317E-03   0.221E-02   0.111E-02
   10   0.265E-03   0.184E-02   0.650E-03
   11   0.265E-03   0.132E-02   0.257E-03
   12   0.207E-03   0.892E-03   0.218E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.548E-01   0.308E-01   0.155E+00
    2   0.261E-01   0.172E+00   0.841E-01
    3   0.571E-02   0.719E-01   0.211E-01
    4   0.359E-02   0.111E-01   0.515E-02
    5   0.338E-02   0.928E-02   0.848E-02
    6   0.158E-02   0.902E-02   0.493E-02
    7   0.548E-03   0.473E-02   0.171E-02
    8   0.209E-03   0.211E-02   0.703E-03
    9   0.251E-03   0.171E-02   0.891E-03
   10   0.218E-03   0.149E-02   0.581E-03
   11   0.227E-03   0.114E-02   0.291E-03
   12   0.184E-03   0.810E-03   0.137E-03

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.472E-01   0.248E-01   0.127E+00
    2   0.223E-01   0.141E+00   0.708E-01
    3   0.514E-02   0.615E-01   0.190E-01
    4   0.273E-02   0.113E-01   0.362E-02
    5   0.272E-02   0.716E-02   0.674E-02
    6   0.131E-02   0.725E-02   0.405E-02
    7   0.456E-03   0.382E-02   0.144E-02
    8   0.158E-03   0.156E-02   0.506E-03
    9   0.193E-03   0.122E-02   0.681E-03
   10   0.176E-03   0.113E-02   0.475E-03
   11   0.188E-03   0.926E-03   0.271E-03

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.338E-01   0.190E-01   0.998E-01
    2   0.185E-01   0.111E+00   0.575E-01
    3   0.449E-02   0.506E-01   0.164E-01
    4   0.186E-02   0.102E-01   0.224E-02
    5   0.219E-02   0.506E-02   0.534E-02
    6   0.109E-02   0.580E-02   0.334E-02
    7   0.390E-03   0.323E-02   0.126E-02
    8   0.137E-03   0.144E-02   0.436E-03
    9   0.168E-03   0.103E-02   0.739E-03
   10   0.171E-03   0.120E-02   0.913E-03
   11   0.190E-03   0.117E-02   0.613E-03
   12   0.171E-03   0.787E-03   0.167E-03

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.293E-01   0.157E-01   0.818E-01
    2   0.160E-01   0.910E-01   0.484E-01
    3   0.410E-02   0.431E-01   0.142E-01
    4   0.157E-02   0.956E-02   0.193E-02
    5   0.184E-02   0.439E-02   0.440E-02
    6   0.757E-03   0.465E-02   0.277E-02
    7   0.390E-03   0.270E-02   0.119E-02
    8   0.106E-03   0.110E-02   0.300E-03
    9   0.134E-03   0.571E-03   0.574E-03

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.255E-01   0.123E-01   0.685E-01
    2   0.140E-01   0.761E-01   0.412E-01
    3   0.358E-02   0.369E-01   0.124E-01
    4   0.131E-02   0.871E-02   0.161E-02
    5   0.140E-02   0.364E-02   0.365E-02
    6   0.719E-03   0.403E-02   0.249E-02
    7   0.510E-03   0.237E-02   0.281E-03
    8   0.107E-03   0.778E-03   0.391E-03

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.217E-01   0.104E-01   0.570E-01
    2   0.122E-01   0.634E-01   0.349E-01
    3   0.312E-02   0.314E-01   0.106E-01
    4   0.108E-02   0.758E-02   0.125E-02
    5   0.118E-02   0.288E-02   0.301E-02
    6   0.606E-03   0.332E-02   0.206E-02
    7   0.431E-03   0.200E-02   0.261E-03
    8   0.101E-03   0.792E-03   0.352E-03

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.242E-01   0.847E-02   0.466E-01
    2   0.103E-01   0.517E-01   0.288E-01
    3   0.262E-02   0.260E-01   0.882E-02
    4   0.893E-03   0.640E-02   0.102E-02
    5   0.981E-03   0.233E-02   0.246E-02
    6   0.499E-03   0.269E-02   0.167E-02
    7   0.350E-03   0.160E-02   0.202E-03
    8   0.786E-04   0.568E-03   0.272E-03

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.272E-01   0.691E-02   0.383E-01
    2   0.854E-02   0.424E-01   0.238E-01
    3   0.239E-02   0.217E-01   0.743E-02
    4   0.679E-03   0.530E-02   0.861E-03
    5   0.946E-03   0.195E-02   0.233E-02
    6   0.468E-03   0.251E-02   0.157E-02
    7   0.331E-03   0.154E-02   0.252E-03
    8   0.191E-03   0.721E-03   0.851E-03

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.245E-01   0.529E-02   0.341E-01
    2   0.772E-02   0.375E-01   0.212E-01
    3   0.215E-02   0.194E-01   0.662E-02
    4   0.625E-03   0.482E-02   0.818E-03
    5   0.855E-03   0.186E-02   0.208E-02
    6   0.423E-03   0.230E-02   0.140E-02
    7   0.305E-03   0.144E-02   0.233E-03
    8   0.186E-03   0.774E-03   0.774E-03

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.238E-01   0.455E-02   0.300E-01
    2   0.690E-02   0.327E-01   0.188E-01
    3   0.191E-02   0.171E-01   0.589E-02
    4   0.575E-03   0.453E-02   0.846E-03
    5   0.763E-03   0.184E-02   0.184E-02
    6   0.373E-03   0.201E-02   0.121E-02
    7   0.267E-03   0.118E-02   0.127E-03
    8   0.158E-03   0.473E-03   0.679E-03
