    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.131     0.119     0.086     0.082     0.129     0.749     0.625     0.445     0.428     0.734
     0.000     0.131     0.120     0.095     0.074     0.130     0.730     0.618     0.484     0.373     0.720
     0.000     0.131     0.124     0.106     0.066     0.129     0.712     0.613     0.526     0.320     0.698
     0.000     0.127     0.132     0.116     0.058     0.125     0.722     0.636     0.588     0.280     0.694
     0.000     0.123     0.142     0.127     0.050     0.121     0.727     0.647     0.638     0.239     0.679
     0.000     0.120     0.153     0.138     0.044     0.116     0.716     0.634     0.665     0.198     0.642
     0.000     0.119     0.167     0.152     0.040     0.110     0.682     0.589     0.662     0.163     0.576
     0.000     0.121     0.186     0.174     0.048     0.104     0.607     0.492     0.611     0.156     0.462
     0.000     0.154     0.212     0.239     0.118     0.094     0.487     0.300     0.477     0.216     0.255
     0.000     0.278     0.266     0.354     0.369     0.078     0.459     0.169     0.324     0.335     0.112
     0.000     0.155     0.181     0.105     0.226     0.091     0.540     0.277     0.212     0.488     0.269
     0.000     0.136     0.152     0.064     0.174     0.102     0.615     0.386     0.190     0.555     0.400
     0.000     0.132     0.142     0.058     0.150     0.109     0.669     0.468     0.207     0.581     0.492
     0.000     0.134     0.138     0.061     0.136     0.116     0.696     0.525     0.240     0.577     0.552
     0.000     0.137     0.137     0.068     0.126     0.124     0.689     0.562     0.277     0.549     0.583
     0.000     0.141     0.137     0.077     0.119     0.131     0.658     0.578     0.315     0.507     0.591
     0.000     0.142     0.137     0.087     0.112     0.135     0.641     0.590     0.357     0.473     0.601
     0.000     0.141     0.137     0.096     0.105     0.137     0.636     0.602     0.399     0.445     0.613
     0.000     0.139     0.137     0.102     0.099     0.137     0.634     0.614     0.435     0.420     0.622
     0.000     0.140     0.139     0.110     0.093     0.138     0.617     0.606     0.455     0.384     0.608
     0.000     0.141     0.142     0.118     0.086     0.138     0.600     0.593     0.476     0.340     0.587
     0.000     0.141     0.146     0.127     0.077     0.136     0.598     0.583     0.502     0.295     0.568
     0.000     0.136     0.149     0.134     0.067     0.129     0.623     0.579     0.545     0.257     0.563
     0.000     0.131     0.153     0.143     0.059     0.121     0.635     0.556     0.578     0.221     0.539
     0.000     0.128     0.162     0.157     0.056     0.113     0.610     0.507     0.584     0.191     0.484
     0.000     0.130     0.177     0.182     0.064     0.105     0.557     0.426     0.557     0.180     0.394
     0.000     0.154     0.211     0.240     0.119     0.094     0.486     0.298     0.476     0.217     0.253
     0.000     0.278     0.266     0.354     0.369     0.078     0.459     0.169     0.324     0.335     0.112
     0.000     0.152     0.183     0.101     0.224     0.091     0.546     0.284     0.208     0.496     0.278
     0.000     0.124     0.162     0.049     0.167     0.100     0.676     0.459     0.170     0.622     0.479
     0.000     0.122     0.149     0.044     0.146     0.107     0.758     0.561     0.192     0.674     0.597
     0.000     0.122     0.140     0.048     0.132     0.112     0.796     0.619     0.234     0.681     0.671
     0.000     0.123     0.133     0.055     0.121     0.116     0.809     0.648     0.281     0.658     0.716
     0.000     0.126     0.127     0.062     0.111     0.121     0.800     0.650     0.323     0.610     0.735
     0.000     0.129     0.121     0.069     0.102     0.125     0.772     0.631     0.359     0.542     0.732
     0.000     0.131     0.119     0.078     0.092     0.128     0.756     0.623     0.401     0.480     0.733
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.000     0.131     0.119     0.090     0.078     0.129     0.742     0.623     0.464     0.402     0.730
     0.010     0.128     0.112     0.089     0.078     0.126     0.428     0.392     0.284     0.249     0.422
     0.020     0.127     0.105     0.088     0.077     0.125     0.463     0.401     0.310     0.271     0.457
     0.030     0.125     0.100     0.087     0.076     0.124     0.494     0.410     0.335     0.292     0.489
