   STRAIN    AVACS    PRITW    SECTW    MODE1    MODE2    MODE3    MODE4    TWFR4    EFFR4
   0.0000   3.1944   0.0000   0.0000   0.0449   0.5427   0.2142   0.1982   0.0000   0.0000
   0.0200   3.3400   0.0000   0.0000   0.0615   0.4959   0.2848   0.1578   0.0615   0.0000
   0.0400   3.4281   0.0000   0.0000   0.0699   0.4700   0.3274   0.1326   0.1099   0.0000
   0.0600   3.4879   0.0000   0.0000   0.0748   0.4538   0.3577   0.1137   0.1502   0.0000
   0.0800   3.5305   0.0000   0.0000   0.0778   0.4436   0.3797   0.0990   0.1846   0.0000
   0.1000   3.5310   0.0000   0.0000   0.0796   0.4372   0.3958   0.0874   0.2143   0.0000
   0.1200   3.5335   0.0000   0.0000   0.0808   0.4335   0.4077   0.0780   0.2405   0.0000
   0.1400   3.5449   0.0000   0.0000   0.0814   0.4317   0.4164   0.0705   0.2638   0.0000
   0.1600   3.5589   0.0000   0.0000   0.0817   0.4314   0.4227   0.0642   0.2849   0.0000
   0.1800   3.5607   0.0000   0.0000   0.0817   0.4322   0.4271   0.0590   0.3040   0.0000
   0.2000   3.5723   0.0000   0.0000   0.0815   0.4338   0.4302   0.0545   0.3216   0.0000
   0.2200   3.5814   0.0000   0.0000   0.0812   0.4362   0.4320   0.0506   0.3378   0.0000
   0.2400   3.5854   0.0000   0.0000   0.0807   0.4393   0.4327   0.0473   0.3529   0.0000
   0.2600   3.5951   0.0000   0.0000   0.0803   0.4427   0.4326   0.0444   0.3670   0.0000
   0.2800   3.5975   0.0000   0.0000   0.0797   0.4465   0.4319   0.0420   0.3803   0.0000
   0.3000   3.6073   0.0000   0.0000   0.0790   0.4504   0.4306   0.0399   0.3928   0.0000
   0.3200   3.6142   0.0000   0.0000   0.0784   0.4543   0.4290   0.0382   0.4047   0.0000
   0.3400   3.6230   0.0000   0.0000   0.0777   0.4583   0.4271   0.0369   0.4162   0.0000
   0.3600   3.6362   0.0000   0.0000   0.0770   0.4622   0.4251   0.0357   0.4272   0.0000
   0.3800   3.6523   0.0000   0.0000   0.0762   0.4660   0.4230   0.0347   0.4379   0.0000
   0.4000   3.6635   0.0000   0.0000   0.0755   0.4698   0.4208   0.0339   0.4484   0.0000
