     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.00000     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6490E-05  0.7119E-05  0.8065E-05
     0.00244     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6490E-05  0.7119E-05  0.8065E-05
     0.00489     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6490E-05  0.7119E-05  0.8065E-05
     0.00734     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6490E-05  0.7119E-05  0.8065E-05
     0.00980     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7119E-05  0.8065E-05
     0.01226     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7119E-05  0.8065E-05
     0.01472     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2362E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7119E-05  0.8065E-05
     0.01718     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7120E-05  0.8065E-05
     0.01964     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7120E-05  0.8065E-05
     0.02211     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7120E-05  0.8065E-05
     0.02458     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6489E-05  0.7120E-05  0.8065E-05
     0.02705     0.5830E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6488E-05  0.7120E-05  0.8065E-05
     0.02952     0.5829E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6488E-05  0.7120E-05  0.8065E-05
     0.03200     0.5829E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6488E-05  0.7120E-05  0.8065E-05
     0.03447     0.5829E+05  0.5843E+05  0.5848E+05  0.2325E+05  0.2363E+05  0.2405E+05  0.1738E+05  0.1731E+05  0.1704E+05     0.6488E-05  0.7121E-05  0.8065E-05
