
*******   STEP   1      *** N_EFF=cte CALCULATION              
   13   0.208E-03   0.746E-03   0.587E-03

*******   STEP   2      *** N_EFF=cte CALCULATION              
    6   0.119E-03   0.992E-03   0.532E-03

*******   STEP   3      *** N_EFF=cte CALCULATION              
    6   0.127E-03   0.563E-03   0.541E-03

*******   STEP   4      *** N_EFF=cte CALCULATION              
    6   0.697E-04   0.561E-03   0.424E-03

*******   STEP   5      *** N_EFF=cte CALCULATION              
    6   0.858E-04   0.418E-03   0.419E-03

*******   STEP   6      *** N_EFF=cte CALCULATION              
    6   0.101E-03   0.328E-03   0.402E-03

*******   STEP   7      *** N_EFF=cte CALCULATION              
    6   0.893E-04   0.323E-03   0.346E-03

*******   STEP   8      *** N_EFF=cte CALCULATION              
    6   0.977E-04   0.270E-03   0.328E-03

*******   STEP   9      *** N_EFF=cte CALCULATION              
    6   0.103E-03   0.238E-03   0.309E-03

*******   STEP  10      *** N_EFF=cte CALCULATION              
    7   0.129E-03   0.614E-03   0.263E-03

*******   STEP  11      *** N_EFF=cte CALCULATION              
    6   0.143E-03   0.188E-03   0.348E-03

*******   STEP  12      *** N_EFF=cte CALCULATION              
    6   0.143E-03   0.200E-03   0.329E-03

*******   STEP  13      *** N_EFF=cte CALCULATION              
    6   0.138E-03   0.202E-03   0.305E-03

*******   STEP  14      *** N_EFF=cte CALCULATION              
    7   0.174E-03   0.617E-03   0.116E-03

*******   STEP  15      *** N_EFF=cte CALCULATION              
    5   0.351E-03   0.973E-03   0.484E-03

*******   STEP  16      *** N_EFF=cte CALCULATION              
    6   0.116E-03   0.950E-03   0.263E-03

*******   STEP  17      *** N_EFF=cte CALCULATION              
    6   0.114E-03   0.872E-03   0.252E-03

*******   STEP  18      *** N_EFF=cte CALCULATION              
    6   0.116E-03   0.818E-03   0.248E-03

*******   STEP  19      *** N_EFF=cte CALCULATION              
    6   0.119E-03   0.770E-03   0.242E-03

*******   STEP  20      *** N_EFF=cte CALCULATION              
    6   0.120E-03   0.726E-03   0.236E-03

*******   STEP  21      *** N_EFF=cte CALCULATION              
    6   0.132E-03   0.731E-03   0.845E-03

*******   STEP  22      *** N_EFF=cte CALCULATION              
    5   0.277E-03   0.967E-03   0.191E-03

*******   STEP  23      *** N_EFF=cte CALCULATION              
    5   0.244E-03   0.989E-03   0.293E-03

*******   STEP  24      *** N_EFF=cte CALCULATION              
    5   0.241E-03   0.954E-03   0.271E-03

*******   STEP  25      *** N_EFF=cte CALCULATION              
    5   0.225E-03   0.882E-03   0.240E-03

*******   STEP  26      *** N_EFF=cte CALCULATION              
    5   0.213E-03   0.826E-03   0.212E-03

*******   STEP  27      *** N_EFF=cte CALCULATION              
    5   0.201E-03   0.776E-03   0.188E-03

*******   STEP  28      *** N_EFF=cte CALCULATION              
    5   0.191E-03   0.730E-03   0.167E-03

*******   STEP  29      *** N_EFF=cte CALCULATION              
    5   0.181E-03   0.689E-03   0.150E-03

*******   STEP  30      *** N_EFF=cte CALCULATION              
    5   0.172E-03   0.650E-03   0.134E-03

*******   STEP  31      *** N_EFF=cte CALCULATION              
    5   0.164E-03   0.615E-03   0.121E-03

*******   STEP  32      *** N_EFF=cte CALCULATION              
    5   0.156E-03   0.582E-03   0.110E-03

*******   STEP  33      *** N_EFF=cte CALCULATION              
    5   0.148E-03   0.552E-03   0.101E-03

*******   STEP  34      *** N_EFF=cte CALCULATION              
    5   0.141E-03   0.524E-03   0.932E-04

*******   STEP  35      *** N_EFF=cte CALCULATION              
    4   0.299E-03   0.990E-03   0.472E-03

*******   STEP  36      *** N_EFF=cte CALCULATION              
    4   0.276E-03   0.944E-03   0.435E-03

*******   STEP  37      *** N_EFF=cte CALCULATION              
    4   0.264E-03   0.908E-03   0.413E-03

*******   STEP  38      *** N_EFF=cte CALCULATION              
    4   0.253E-03   0.873E-03   0.393E-03

*******   STEP  39      *** N_EFF=cte CALCULATION              
    4   0.243E-03   0.840E-03   0.375E-03

*******   STEP  40      *** N_EFF=cte CALCULATION              
    5   0.207E-03   0.639E-03   0.287E-03

*******   STEP  41      *** N_EFF=cte CALCULATION              
    4   0.246E-03   0.791E-03   0.373E-03

*******   STEP  42      *** N_EFF=cte CALCULATION              
    5   0.192E-03   0.588E-03   0.280E-03

*******   STEP  43      *** N_EFF=cte CALCULATION              
    4   0.227E-03   0.736E-03   0.340E-03

*******   STEP  44      *** N_EFF=cte CALCULATION              
    5   0.178E-03   0.541E-03   0.272E-03

*******   STEP  45      *** N_EFF=cte CALCULATION              
    5   0.190E-03   0.570E-03   0.307E-03

*******   STEP  46      *** N_EFF=cte CALCULATION              
    5   0.185E-03   0.554E-03   0.306E-03

*******   STEP  47      *** N_EFF=cte CALCULATION              
    5   0.178E-03   0.532E-03   0.301E-03

*******   STEP  48      *** N_EFF=cte CALCULATION              
    5   0.172E-03   0.511E-03   0.295E-03

*******   STEP  49      *** N_EFF=cte CALCULATION              
    5   0.166E-03   0.491E-03   0.289E-03

*******   STEP  50      *** N_EFF=cte CALCULATION              
    5   0.160E-03   0.472E-03   0.283E-03

*******   STEP  51      *** N_EFF=cte CALCULATION              
    5   0.154E-03   0.454E-03   0.278E-03
