          Evm          Svm          E11          E22          E33          E23          E13          E12             SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP      TIME    TAYLAV      WORKAV      WRATE1      WRATE2 
  0.00000E+00  0.12216E+03     0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.72073E+02 -0.32242E+01 -0.68849E+02 -0.70416E+00 -0.10496E+01 -0.34865E+00      273. 0.000E+00     0.997  0.2317E+01  0.1410E+00  0.1159E+00
  0.23072E-01  0.14422E+03     0.20000E-01  0.00000E+00 -0.20000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.85347E+02 -0.43536E+01 -0.80993E+02 -0.88414E+00 -0.10975E+01 -0.31753E+00      273. 0.200E+02     1.054  0.5225E+01  0.1662E+00  0.1454E+00
  0.46139E-01  0.16218E+03     0.40000E-01  0.00000E+00 -0.40000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.95887E+02 -0.47006E+01 -0.91186E+02 -0.10813E+01 -0.10674E+01 -0.18838E+00      273. 0.400E+02     1.085  0.8577E+01  0.1872E+00  0.1676E+00
  0.69208E-01  0.17774E+03     0.60000E-01  0.00000E+00 -0.60000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.10498E+03 -0.49234E+01 -0.10005E+03 -0.12845E+01 -0.99276E+00 -0.28605E-01      273. 0.600E+02     1.106  0.1229E+02  0.2051E+00  0.1857E+00
  0.92279E-01  0.19112E+03     0.80000E-01  0.00000E+00 -0.80000E-01  0.00000E+00  0.00000E+00  0.00000E+00     0.11283E+03 -0.51928E+01 -0.10764E+03 -0.14872E+01 -0.88368E+00  0.11311E+00      273. 0.800E+02     1.119  0.1631E+02  0.2202E+00  0.2009E+00
  0.11535E+00  0.20264E+03     0.10000E+00  0.00000E+00 -0.10000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.11965E+03 -0.55342E+01 -0.11411E+03 -0.16739E+01 -0.77889E+00  0.21151E+00      273. 0.100E+03     1.129  0.2059E+02  0.2336E+00  0.2141E+00
  0.13842E+00  0.21269E+03     0.12000E+00  0.00000E+00 -0.12000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.12564E+03 -0.59415E+01 -0.11970E+03 -0.18666E+01 -0.68443E+00  0.28797E+00      273. 0.120E+03     1.137  0.2510E+02  0.2452E+00  0.2256E+00
  0.16149E+00  0.22149E+03     0.14000E+00  0.00000E+00 -0.14000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.13094E+03 -0.64066E+01 -0.12453E+03 -0.20479E+01 -0.59727E+00  0.34573E+00      273. 0.140E+03     1.143  0.2981E+02  0.2553E+00  0.2355E+00
  0.18456E+00  0.22913E+03     0.16000E+00  0.00000E+00 -0.16000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.13558E+03 -0.68905E+01 -0.12868E+03 -0.22402E+01 -0.48534E+00  0.40772E+00      273. 0.160E+03     1.147  0.3470E+02  0.2642E+00  0.2443E+00
  0.20763E+00  0.23590E+03     0.18000E+00  0.00000E+00 -0.18000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.13975E+03 -0.74488E+01 -0.13230E+03 -0.23620E+01 -0.37048E+00  0.45613E+00      273. 0.180E+03     1.150  0.3974E+02  0.2720E+00  0.2520E+00
  0.23069E+00  0.24190E+03     0.20000E+00  0.00000E+00 -0.20000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14349E+03 -0.80497E+01 -0.13544E+03 -0.24450E+01 -0.25812E+00  0.51194E+00      273. 0.200E+03     1.153  0.4492E+02  0.2789E+00  0.2587E+00
  0.25376E+00  0.24719E+03     0.22000E+00  0.00000E+00 -0.22000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14683E+03 -0.86719E+01 -0.13816E+03 -0.24829E+01 -0.16589E+00  0.57205E+00      273. 0.220E+03     1.156  0.5021E+02  0.2850E+00  0.2647E+00
  0.27681E+00  0.25186E+03     0.24000E+00  0.00000E+00 -0.24000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.14981E+03 -0.92933E+01 -0.14052E+03 -0.24796E+01 -0.10338E+00  0.62572E+00      273. 0.240E+03     1.158  0.5560E+02  0.2901E+00  0.2697E+00
  0.29987E+00  0.25618E+03     0.26000E+00  0.00000E+00 -0.26000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.15257E+03 -0.98734E+01 -0.14270E+03 -0.24627E+01 -0.78520E-01  0.64585E+00      273. 0.260E+03     1.159  0.6109E+02  0.2948E+00  0.2743E+00
  0.32292E+00  0.25963E+03     0.28000E+00  0.00000E+00 -0.28000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.15484E+03 -0.10475E+02 -0.14436E+03 -0.24271E+01 -0.25111E-01  0.68585E+00      273. 0.280E+03     1.161  0.6665E+02  0.2990E+00  0.2784E+00
  0.34597E+00  0.26284E+03     0.30000E+00  0.00000E+00 -0.30000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.15695E+03 -0.11042E+02 -0.14591E+03 -0.23913E+01 -0.21116E-02  0.68723E+00      273. 0.300E+03     1.162  0.7229E+02  0.3027E+00  0.2819E+00
  0.36901E+00  0.26579E+03     0.32000E+00  0.00000E+00 -0.32000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.15887E+03 -0.11523E+02 -0.14735E+03 -0.23700E+01  0.12974E-02  0.66724E+00      273. 0.320E+03     1.163  0.7800E+02  0.3059E+00  0.2851E+00
  0.39206E+00  0.26834E+03     0.34000E+00  0.00000E+00 -0.34000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.16056E+03 -0.12014E+02 -0.14855E+03 -0.23349E+01 -0.13110E-01  0.62796E+00      273. 0.340E+03     1.163  0.8375E+02  0.3086E+00  0.2877E+00
  0.41509E+00  0.27050E+03     0.36000E+00  0.00000E+00 -0.36000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.16203E+03 -0.12501E+02 -0.14953E+03 -0.23062E+01 -0.45609E-01  0.56821E+00      273. 0.360E+03     1.164  0.8955E+02  0.3111E+00  0.2902E+00
  0.43813E+00  0.27233E+03     0.38000E+00  0.00000E+00 -0.38000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.16329E+03 -0.12963E+02 -0.15033E+03 -0.22855E+01 -0.87567E-01  0.49197E+00      273. 0.380E+03     1.164  0.9540E+02  0.3133E+00  0.2925E+00
  0.46116E+00  0.27400E+03     0.40000E+00  0.00000E+00 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00     0.16445E+03 -0.13404E+02 -0.15105E+03 -0.22755E+01 -0.12418E+00  0.40314E+00      273. 0.400E+03     1.164  0.1013E+03  0.3153E+00  0.2944E+00
