        EPSvm          Svm        SDEV1    SDEV2    SDEV3    SDEV4    SDEV5    SDEV6        DDEV1    DDEV2    DDEV3    DDEV4    DDEV5    DDEV6
  0.00000E+00  0.12216E+03        0.163    0.156    0.133    0.144    0.185    0.000        0.236    0.279    0.166    0.223    0.231    0.000
  0.23072E-01  0.14422E+03        0.125    0.114    0.134    0.140    0.174    0.000        0.162    0.188    0.159    0.200    0.200    0.000
  0.46139E-01  0.16218E+03        0.108    0.100    0.135    0.135    0.166    0.000        0.129    0.155    0.154    0.186    0.181    0.000
  0.69208E-01  0.17774E+03        0.098    0.094    0.135    0.130    0.161    0.000        0.112    0.141    0.151    0.176    0.168    0.000
  0.92279E-01  0.19112E+03        0.093    0.091    0.135    0.126    0.158    0.000        0.101    0.134    0.149    0.168    0.159    0.000
  0.11535E+00  0.20264E+03        0.089    0.090    0.135    0.122    0.155    0.000        0.094    0.130    0.147    0.162    0.152    0.000
  0.13842E+00  0.21269E+03        0.086    0.089    0.135    0.119    0.153    0.000        0.089    0.128    0.146    0.158    0.147    0.000
  0.16149E+00  0.22149E+03        0.085    0.089    0.135    0.116    0.151    0.000        0.085    0.127    0.145    0.155    0.143    0.000
  0.18456E+00  0.22913E+03        0.083    0.089    0.134    0.113    0.150    0.000        0.082    0.126    0.144    0.152    0.140    0.000
  0.20763E+00  0.23590E+03        0.082    0.089    0.134    0.110    0.149    0.000        0.080    0.126    0.144    0.151    0.137    0.000
  0.23069E+00  0.24190E+03        0.081    0.089    0.133    0.108    0.148    0.000        0.077    0.125    0.143    0.151    0.134    0.000
  0.25376E+00  0.24719E+03        0.081    0.089    0.132    0.106    0.147    0.000        0.075    0.125    0.142    0.151    0.132    0.000
  0.27681E+00  0.25186E+03        0.080    0.089    0.132    0.105    0.146    0.000        0.073    0.125    0.142    0.152    0.130    0.000
  0.29987E+00  0.25618E+03        0.079    0.089    0.131    0.103    0.145    0.000        0.071    0.124    0.142    0.154    0.128    0.000
  0.32292E+00  0.25963E+03        0.079    0.089    0.131    0.102    0.145    0.000        0.069    0.123    0.142    0.156    0.127    0.000
  0.34597E+00  0.26284E+03        0.079    0.089    0.130    0.101    0.144    0.000        0.067    0.123    0.142    0.158    0.126    0.000
  0.36901E+00  0.26579E+03        0.079    0.089    0.130    0.100    0.144    0.000        0.066    0.122    0.141    0.160    0.124    0.000
  0.39206E+00  0.26834E+03        0.079    0.089    0.129    0.098    0.144    0.000        0.064    0.121    0.141    0.162    0.123    0.000
  0.41509E+00  0.27050E+03        0.079    0.089    0.129    0.097    0.144    0.000        0.062    0.119    0.141    0.164    0.122    0.000
  0.43813E+00  0.27233E+03        0.079    0.089    0.128    0.095    0.144    0.000        0.061    0.118    0.141    0.166    0.121    0.000
  0.46116E+00  0.27400E+03        0.079    0.089    0.128    0.094    0.144    0.000        0.059    0.117    0.141    0.169    0.120    0.000
