   STRAIN   AVACS   MODE1   MODE2   MODE3   MODE4   
     0.000000      1.000000      0.012000      0.000000      0.000000      0.000000
     0.005000      1.000000      0.012000      0.000000      0.000000      0.000000
     0.010000      1.000000      0.012000      0.000000      0.000000      0.000000
     0.015000      1.000000      0.012000      0.000000      0.000000      0.000000
     0.020000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.025000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.030000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.035000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.040000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.045000      1.000000      0.011000      0.000000      0.000000      0.000000
     0.050000      1.000000      0.011000      0.000000      0.000000      0.000000
