  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      1.003   1.017   0.979      0.004   0.004   0.006
  0.04     1      1.007   1.035   0.959      0.007   0.008   0.011
  0.06     1      1.010   1.053   0.939      0.011   0.011   0.016
  0.08     1      1.013   1.071   0.920      0.014   0.014   0.022
  0.10     1      1.017   1.090   0.901      0.018   0.017   0.027
  0.12     1      1.020   1.109   0.882      0.021   0.020   0.032
  0.14     1      1.023   1.129   0.864      0.024   0.023   0.036
  0.16     1      1.027   1.148   0.847      0.028   0.026   0.041
  0.18     1      1.030   1.168   0.829      0.031   0.028   0.046
  0.20     1      1.033   1.189   0.813      0.034   0.031   0.050
  0.22     1      1.037   1.210   0.796      0.037   0.033   0.054
  0.24     1      1.040   1.231   0.780      0.040   0.035   0.059
  0.26     1      1.043   1.253   0.764      0.043   0.037   0.063
  0.28     1      1.047   1.275   0.749      0.046   0.039   0.067
  0.30     1      1.050   1.297   0.733      0.049   0.040   0.071
  0.32     1      1.053   1.320   0.719      0.052   0.042   0.075
  0.34     1      1.056   1.343   0.704      0.054   0.043   0.079
  0.36     1      1.060   1.366   0.690      0.057   0.045   0.082
  0.38     1      1.063   1.390   0.676      0.060   0.046   0.086
  0.40     1      1.066   1.415   0.662      0.063   0.048   0.090
  0.42     1      1.070   1.440   0.649      0.065   0.049   0.093
  0.44     1      1.073   1.465   0.636      0.068   0.050   0.097
  0.46     1      1.076   1.491   0.623      0.070   0.051   0.100
  0.48     1      1.080   1.517   0.610      0.073   0.053   0.104
  0.50     1      1.083   1.544   0.598      0.076   0.054   0.107
  0.52     1      1.086   1.572   0.586      0.078   0.055   0.110
  0.54     1      1.089   1.600   0.574      0.081   0.056   0.113
  0.56     1      1.093   1.628   0.562      0.083   0.057   0.117
  0.58     1      1.096   1.657   0.551      0.086   0.058   0.120
  0.60     1      1.099   1.687   0.540      0.088   0.059   0.123
  0.62     1      1.102   1.717   0.529      0.091   0.060   0.126
  0.64     1      1.105   1.748   0.518      0.093   0.061   0.129
  0.66     1      1.108   1.779   0.508      0.096   0.062   0.132
  0.68     1      1.112   1.812   0.498      0.098   0.063   0.135
  0.70     1      1.115   1.844   0.488      0.100   0.065   0.138
  0.72     1      1.118   1.878   0.478      0.103   0.066   0.141
  0.74     1      1.121   1.912   0.468      0.105   0.067   0.144
  0.76     1      1.124   1.947   0.459      0.108   0.068   0.147
  0.78     1      1.127   1.982   0.450      0.110   0.069   0.150
  0.80     1      1.129   2.019   0.441      0.112   0.070   0.153
  0.82     1      1.132   2.056   0.432      0.115   0.071   0.156
  0.84     1      1.135   2.093   0.423      0.117   0.072   0.158
  0.86     1      1.138   2.132   0.414      0.120   0.073   0.161
  0.88     1      1.141   2.171   0.406      0.122   0.074   0.164
  0.90     1      1.144   2.212   0.398      0.125   0.075   0.166
  0.92     1      1.146   2.253   0.390      0.127   0.075   0.169
  0.94     1      1.149   2.294   0.382      0.129   0.076   0.171
  0.96     1      1.152   2.337   0.374      0.132   0.077   0.174
  0.98     1      1.154   2.381   0.367      0.134   0.078   0.176
  1.00     1      1.157   2.425   0.359      0.137   0.079   0.179
