  EPS  PHASE      AVAX1   AVAX2   AVAX3      SDAX1   SDAX2   SDAX3
  0.00     1      1.000   1.000   1.000      0.000   0.000   0.000
  0.02     1      0.990   1.020   0.990      0.000   0.000   0.000
  0.04     1      0.980   1.040   0.980      0.000   0.000   0.000
  0.06     1      0.970   1.061   0.970      0.000   0.000   0.000
  0.08     1      0.961   1.082   0.961      0.000   0.000   0.000
  0.10     1      0.951   1.104   0.951      0.000   0.000   0.000
  0.12     1      0.941   1.126   0.941      0.000   0.000   0.000
  0.14     1      0.932   1.149   0.932      0.000   0.000   0.000
  0.16     1      0.923   1.172   0.923      0.000   0.000   0.000
  0.18     1      0.914   1.195   0.914      0.000   0.000   0.000
  0.20     1      0.904   1.219   0.904      0.000   0.000   0.000
  0.22     1      0.895   1.243   0.895      0.000   0.000   0.000
  0.24     1      0.886   1.268   0.886      0.000   0.000   0.000
  0.26     1      0.878   1.294   0.878      0.000   0.000   0.000
  0.28     1      0.869   1.319   0.869      0.000   0.000   0.000
  0.30     1      0.860   1.346   0.860      0.000   0.000   0.000
  0.32     1      0.851   1.373   0.851      0.000   0.000   0.000
  0.34     1      0.843   1.400   0.843      0.000   0.000   0.000
  0.36     1      0.835   1.428   0.835      0.000   0.000   0.000
  0.38     1      0.826   1.457   0.826      0.000   0.000   0.000
  0.40     1      0.818   1.486   0.818      0.000   0.000   0.000
  0.42     1      0.810   1.516   0.810      0.000   0.000   0.000
  0.44     1      0.802   1.546   0.802      0.000   0.000   0.000
  0.46     1      0.794   1.577   0.794      0.000   0.000   0.000
  0.48     1      0.786   1.608   0.786      0.000   0.000   0.000
  0.50     1      0.778   1.641   0.778      0.000   0.000   0.000
  0.52     1      0.770   1.673   0.770      0.000   0.000   0.000
  0.54     1      0.762   1.707   0.762      0.000   0.000   0.000
  0.56     1      0.755   1.741   0.755      0.000   0.000   0.000
  0.58     1      0.747   1.776   0.747      0.000   0.000   0.000
  0.60     1      0.740   1.811   0.740      0.000   0.000   0.000
  0.62     1      0.732   1.848   0.732      0.000   0.000   0.000
  0.64     1      0.725   1.885   0.725      0.000   0.000   0.000
  0.66     1      0.718   1.922   0.718      0.000   0.000   0.000
  0.68     1      0.711   1.961   0.711      0.000   0.000   0.000
  0.70     1      0.703   2.000   0.703      0.000   0.000   0.000
  0.72     1      0.696   2.040   0.696      0.000   0.000   0.000
  0.74     1      0.689   2.081   0.689      0.000   0.000   0.000
  0.76     1      0.683   2.122   0.683      0.000   0.000   0.000
  0.78     1      0.676   2.165   0.676      0.000   0.000   0.000
  0.80     1      0.669   2.208   0.669      0.000   0.000   0.000
  0.82     1      0.662   2.252   0.662      0.000   0.000   0.000
  0.84     1      0.656   2.297   0.656      0.000   0.000   0.000
  0.86     1      0.649   2.343   0.649      0.000   0.000   0.000
  0.88     1      0.643   2.390   0.643      0.000   0.000   0.000
  0.90     1      0.636   2.438   0.636      0.000   0.000   0.000
  0.92     1      0.630   2.487   0.630      0.000   0.000   0.000
  0.94     1      0.624   2.536   0.624      0.000   0.000   0.000
  0.96     1      0.617   2.587   0.617      0.000   0.000   0.000
  0.98     1      0.611   2.639   0.611      0.000   0.000   0.000
  1.00     1      0.605   2.692   0.605      0.000   0.000   0.000
